BillingID,ReservationID,IssueDate,DueDate,TotalAmount,DiscountAmount,TaxAmount,AmountPaid,PaymentDate,PaymentMethod,Status
74,18950,2022-12-26,2023-01-02,2153.64,339.33,230.75,2153.64,2022-12-26,Corporate Account,Paid
75,19864,2023-08-16,2023-08-23,2758.04,0.00,295.50,0.00,,Credit Card,Pending
76,7094,2021-08-21,2021-08-28,2503.84,0.00,268.27,2503.84,2021-08-22,Cash,Paid
77,20564,2025-12-05,2025-12-12,6287.03,0.00,673.61,0.00,,Cash,Pending
78,16433,2022-11-09,2022-11-16,275.32,12.94,29.50,275.32,2022-11-09,Bank Transfer,Paid
79,24569,2024-09-06,2024-09-13,2401.97,0.00,257.35,2401.97,2024-09-10,Cash,Paid
80,19977,2020-05-10,2020-05-17,1268.02,59.59,135.86,0.00,,Bank Transfer,Pending
81,12495,2022-09-26,2022-10-03,2370.61,235.18,253.99,2370.61,2022-09-28,Corporate Account,Paid
82,21785,2020-03-07,2020-03-14,4256.55,670.68,456.06,4256.55,2020-03-09,Credit Card,Paid
83,10989,2022-10-01,2022-10-08,1716.98,0.00,183.96,1716.98,2022-10-01,Cash,Paid
84,5071,2020-08-23,2020-08-30,5324.86,0.00,570.52,5324.86,2020-08-28,Credit Card,Paid
85,8645,2024-02-18,2024-02-25,3979.94,0.00,426.42,3979.94,2024-02-21,Cash,Paid
86,18819,2024-05-14,2024-05-21,1805.55,0.00,193.45,1805.55,2024-05-14,Credit Card,Paid
87,9459,2022-02-22,2022-03-01,2110.23,0.00,226.10,2110.23,2022-02-23,Credit Card,Paid
88,21573,2020-06-22,2020-06-29,469.46,0.00,50.30,469.46,2020-06-25,Bank Transfer,Paid
89,13461,2024-12-28,2025-01-04,4670.33,0.00,500.39,4670.33,2024-12-28,Bank Transfer,Paid
90,12392,2023-11-25,2023-12-02,4096.74,0.00,438.94,4096.74,2023-11-29,Cash,Paid
91,2709,2024-11-04,2024-11-11,1820.31,0.00,195.03,0.00,,Bank Transfer,Pending
92,3266,2024-07-17,2024-07-24,1467.50,68.96,157.23,1467.50,2024-07-19,Cash,Paid
93,17037,2025-08-23,2025-08-30,701.98,32.99,75.21,701.98,2025-08-26,Corporate Account,Paid
94,1991,2023-03-27,2023-04-03,4869.59,0.00,521.74,4869.59,2023-03-31,Cash,Paid
95,6046,2022-02-19,2022-02-26,1611.16,0.00,172.62,0.00,,Credit Card,Pending
96,6237,2022-08-11,2022-08-18,6024.82,0.00,645.52,6024.82,2022-08-15,Credit Card,Paid
97,8864,2023-11-27,2023-12-04,4896.98,0.00,524.68,4896.98,2023-11-30,Credit Card,Paid
98,13118,2020-07-27,2020-08-03,1113.08,0.00,119.26,1113.08,2020-07-28,Bank Transfer,Paid
99,11855,2023-03-15,2023-03-22,3073.72,0.00,329.33,3073.72,2023-03-19,Bank Transfer,Paid
100,19290,2021-04-16,2021-04-23,4310.18,0.00,461.80,4310.18,2021-04-21,Credit Card,Paid
101,19417,2024-06-12,2024-06-19,2059.91,324.56,220.70,2059.91,2024-06-17,Bank Transfer,Paid
102,12528,2023-01-23,2023-01-30,1045.61,0.00,112.03,1045.61,2023-01-23,Credit Card,Paid
103,1351,2020-08-20,2020-08-27,1284.47,60.36,137.62,1284.47,2020-08-25,Credit Card,Paid
104,9225,2022-03-27,2022-04-03,3950.00,0.00,423.21,0.00,,Bank Transfer,Pending
105,8561,2025-07-26,2025-08-02,2655.38,0.00,284.50,0.00,,Bank Transfer,Pending
106,17253,2021-05-01,2021-05-08,523.69,0.00,56.11,523.69,2021-05-02,Bank Transfer,Paid
107,11109,2025-06-24,2025-07-01,436.42,0.00,46.76,436.42,2025-06-28,Corporate Account,Paid
108,24771,2021-01-28,2021-02-04,2025.04,0.00,216.97,2025.04,2021-02-01,Bank Transfer,Paid
109,17829,2023-07-18,2023-07-25,3263.44,0.00,349.65,3263.44,2023-07-19,Corporate Account,Paid
110,6344,2020-12-17,2020-12-24,2145.54,0.00,229.88,2145.54,2020-12-21,Credit Card,Paid
111,10335,2020-12-21,2020-12-28,300.67,0.00,32.22,300.67,2020-12-22,Cash,Paid
112,17590,2023-07-25,2023-08-01,2078.66,0.00,222.71,2078.66,2023-07-27,Cash,Paid
113,619,2023-10-16,2023-10-23,2906.41,0.00,311.40,2906.41,2023-10-16,Corporate Account,Paid
114,22489,2020-11-20,2020-11-27,1618.75,0.00,173.44,1618.75,2020-11-23,Cash,Paid
115,10472,2021-06-05,2021-06-12,1350.32,0.00,144.68,0.00,,Cash,Pending
116,20286,2020-07-28,2020-08-04,4500.78,0.00,482.23,4500.78,2020-07-28,Cash,Paid
117,18136,2020-10-04,2020-10-11,5058.43,0.00,541.97,5058.43,2020-10-04,Credit Card,Paid
118,5164,2025-08-20,2025-08-27,2237.57,0.00,239.74,2237.57,2025-08-21,Corporate Account,Paid
119,16941,2024-06-04,2024-06-11,5624.45,0.00,602.62,5624.45,2024-06-07,Corporate Account,Paid
120,18826,2024-03-26,2024-04-02,1999.03,314.97,214.18,1999.03,2024-03-28,Cash,Paid
121,5220,2020-12-09,2020-12-16,3955.07,0.00,423.76,0.00,,Credit Card,Pending
122,12269,2023-03-18,2023-03-25,5034.47,499.45,539.41,5034.47,2023-03-20,Cash,Paid
123,13114,2021-02-01,2021-02-08,1251.42,0.00,134.08,1251.42,2021-02-05,Credit Card,Paid
124,21212,2022-03-18,2022-03-25,1633.39,0.00,175.01,1633.39,2022-03-22,Cash,Paid
125,5437,2023-06-17,2023-06-24,5160.06,0.00,552.86,5160.06,2023-06-22,Corporate Account,Paid
126,6382,2022-03-21,2022-03-28,4921.14,0.00,527.27,4921.14,2022-03-23,Cash,Paid
127,24935,2023-12-04,2023-12-11,2493.69,0.00,267.18,2493.69,2023-12-09,Credit Card,Paid
128,14951,2022-01-24,2022-01-31,2876.06,0.00,308.15,2876.06,2022-01-29,Cash,Paid
129,10996,2024-03-10,2024-03-17,1622.37,0.00,173.83,1622.37,2024-03-13,Bank Transfer,Paid
130,1735,2023-03-11,2023-03-18,1572.53,0.00,168.48,0.00,,Bank Transfer,Pending
131,21691,2023-03-19,2023-03-26,2848.36,282.58,305.18,2848.36,2023-03-22,Credit Card,Paid
132,14956,2023-03-09,2023-03-16,644.97,0.00,69.10,644.97,2023-03-09,Credit Card,Paid
133,13425,2023-08-21,2023-08-28,1239.66,122.98,132.82,1239.66,2023-08-24,Corporate Account,Paid
134,6550,2021-12-12,2021-12-19,1858.00,0.00,199.07,1858.00,2021-12-16,Corporate Account,Paid
135,9481,2022-01-26,2022-02-02,976.24,0.00,104.60,0.00,,Cash,Overdue
136,14851,2022-01-06,2022-01-13,1901.69,188.66,203.75,1901.69,2022-01-10,Credit Card,Paid
137,20021,2023-10-23,2023-10-30,209.33,9.84,22.43,0.00,,Cash,Pending
138,6733,2025-06-15,2025-06-22,2466.21,0.00,264.24,0.00,,Bank Transfer,Pending
139,6059,2020-03-22,2020-03-29,2433.05,0.00,260.68,2433.05,2020-03-24,Credit Card,Paid
140,18040,2022-04-22,2022-04-29,2315.93,0.00,248.14,2315.93,2022-04-26,Corporate Account,Paid
141,12763,2024-01-03,2024-01-10,1766.84,0.00,189.30,1766.84,2024-01-03,Corporate Account,Paid
142,756,2021-05-01,2021-05-08,1159.81,0.00,124.26,1159.81,2021-05-04,Credit Card,Paid
143,16750,2025-07-12,2025-07-19,4812.08,0.00,515.58,4812.08,2025-07-17,Bank Transfer,Paid
144,10211,2025-09-21,2025-09-28,4226.19,0.00,452.81,0.00,,Credit Card,Pending
145,3351,2025-12-15,2025-12-22,1375.16,0.00,147.34,1375.16,2025-12-16,Bank Transfer,Paid
146,5991,2021-01-13,2021-01-20,812.16,0.00,87.02,812.16,2021-01-13,Credit Card,Paid
147,24057,2023-08-17,2023-08-24,1136.53,0.00,121.77,1136.53,2023-08-21,Corporate Account,Paid
148,4405,2025-02-04,2025-02-11,5114.78,0.00,548.01,5114.78,2025-02-08,Corporate Account,Paid
149,24691,2023-02-22,2023-03-01,5901.43,0.00,632.30,5901.43,2023-02-24,Bank Transfer,Paid
150,1132,2020-04-20,2020-04-27,2287.45,0.00,245.08,2287.45,2020-04-23,Cash,Paid
151,1786,2024-03-27,2024-04-03,3333.56,0.00,357.17,3333.56,2024-03-28,Corporate Account,Paid
152,2581,2023-07-13,2023-07-20,4323.56,0.00,463.24,4323.56,2023-07-13,Corporate Account,Paid
153,11428,2025-11-03,2025-11-10,3516.50,0.00,376.77,0.00,,Credit Card,Overdue
154,18359,2024-05-08,2024-05-15,1706.70,0.00,182.86,1706.70,2024-05-08,Cash,Paid
155,2851,2023-01-12,2023-01-19,1742.55,0.00,186.70,1742.55,2023-01-12,Corporate Account,Paid
156,7363,2022-01-18,2022-01-25,4164.43,0.00,446.19,4164.43,2022-01-20,Corporate Account,Paid
157,22390,2021-06-18,2021-06-25,3197.73,0.00,342.61,3197.73,2021-06-21,Cash,Paid
158,11648,2023-04-22,2023-04-29,2144.53,0.00,229.77,2144.53,2023-04-27,Corporate Account,Paid
159,14199,2024-02-11,2024-02-18,4903.01,0.00,525.32,4903.01,2024-02-15,Corporate Account,Paid
160,6968,2021-12-13,2021-12-20,1530.47,0.00,163.98,1530.47,2021-12-14,Credit Card,Paid
161,3579,2023-09-11,2023-09-18,6282.26,0.00,673.10,0.00,,Corporate Account,Overdue
162,19931,2025-06-02,2025-06-09,1785.04,0.00,191.25,1785.04,2025-06-07,Credit Card,Paid
163,24666,2020-12-11,2020-12-18,2410.28,0.00,258.24,2410.28,2020-12-12,Cash,Paid
164,15973,2020-11-21,2020-11-28,1923.41,90.39,206.08,1923.41,2020-11-25,Corporate Account,Paid
165,10183,2021-04-01,2021-04-08,3607.04,357.84,386.47,3607.04,2021-04-01,Bank Transfer,Paid
166,15418,2022-01-11,2022-01-18,2683.72,0.00,287.54,0.00,,Cash,Pending
167,18143,2025-01-11,2025-01-18,1637.08,0.00,175.40,1637.08,2025-01-13,Corporate Account,Paid
168,19806,2021-09-16,2021-09-23,6303.64,0.00,675.39,6303.64,2021-09-17,Bank Transfer,Paid
169,20971,2020-09-19,2020-09-26,596.89,94.05,63.95,596.89,2020-09-24,Corporate Account,Paid
170,7028,2021-10-23,2021-10-30,2760.59,0.00,295.78,2760.59,2021-10-28,Credit Card,Paid
171,14347,2020-09-21,2020-09-28,1608.72,0.00,172.36,0.00,,Bank Transfer,Overdue
172,7733,2022-08-05,2022-08-12,3291.17,0.00,352.63,3291.17,2022-08-10,Corporate Account,Paid
173,13170,2020-03-28,2020-04-04,5389.13,0.00,577.41,5389.13,2020-03-30,Cash,Paid
174,18482,2025-02-07,2025-02-14,1027.25,0.00,110.06,1027.25,2025-02-07,Cash,Paid
175,775,2025-03-07,2025-03-14,1652.98,0.00,177.11,1652.98,2025-03-09,Bank Transfer,Paid
176,2682,2023-09-04,2023-09-11,2487.01,0.00,266.46,2487.01,2023-09-05,Bank Transfer,Paid
177,15693,2025-11-17,2025-11-24,857.21,85.04,91.84,857.21,2025-11-22,Bank Transfer,Paid
178,2778,2025-08-10,2025-08-17,1349.15,0.00,144.55,1349.15,2025-08-11,Bank Transfer,Paid
179,8903,2025-05-02,2025-05-09,1170.88,0.00,125.45,1170.88,2025-05-02,Corporate Account,Paid
180,18988,2021-02-25,2021-03-04,2542.03,0.00,272.36,0.00,,Cash,Overdue
181,15612,2020-08-09,2020-08-16,801.44,0.00,85.87,801.44,2020-08-13,Bank Transfer,Paid
182,9804,2023-03-05,2023-03-12,387.36,0.00,41.50,387.36,2023-03-07,Corporate Account,Paid
183,15140,2025-05-12,2025-05-19,1785.55,0.00,191.31,1785.55,2025-05-17,Corporate Account,Paid
184,24440,2020-05-25,2020-06-01,315.39,0.00,33.79,315.39,2020-05-25,Credit Card,Paid
185,16633,2025-09-11,2025-09-18,241.72,0.00,25.90,241.72,2025-09-11,Cash,Paid
186,19120,2021-09-02,2021-09-09,1495.68,148.38,160.25,1495.68,2021-09-04,Credit Card,Paid
187,16916,2024-09-12,2024-09-19,1033.25,0.00,110.71,1033.25,2024-09-17,Bank Transfer,Paid
188,22162,2023-05-15,2023-05-22,3131.83,0.00,335.55,3131.83,2023-05-19,Cash,Paid
189,1055,2025-07-18,2025-07-25,2840.25,281.77,304.31,2840.25,2025-07-19,Cash,Paid
190,10056,2022-07-15,2022-07-22,1281.44,127.13,137.30,1281.44,2022-07-15,Cash,Paid
191,16082,2024-02-02,2024-02-09,6076.62,602.84,651.07,6076.62,2024-02-07,Corporate Account,Paid
192,21732,2021-02-27,2021-03-06,1154.77,0.00,123.73,1154.77,2021-03-04,Credit Card,Paid
193,14423,2020-10-26,2020-11-02,4348.77,431.43,465.94,4348.77,2020-10-29,Cash,Paid
194,23329,2022-08-20,2022-08-27,2172.49,0.00,232.77,2172.49,2022-08-20,Corporate Account,Paid
195,8000,2022-06-22,2022-06-29,372.25,0.00,39.88,372.25,2022-06-24,Cash,Paid
196,6583,2025-08-21,2025-08-28,1610.40,253.74,172.54,1610.40,2025-08-26,Bank Transfer,Paid
197,3292,2021-02-14,2021-02-21,2541.35,252.12,272.29,2541.35,2021-02-17,Credit Card,Paid
198,9412,2020-12-08,2020-12-15,2408.38,0.00,258.04,2408.38,2020-12-10,Cash,Paid
199,3476,2023-08-23,2023-08-30,771.81,0.00,82.69,771.81,2023-08-25,Corporate Account,Paid
200,6959,2022-04-10,2022-04-17,413.49,0.00,44.30,413.49,2022-04-14,Bank Transfer,Paid
201,13927,2024-01-11,2024-01-18,1704.76,0.00,182.65,0.00,,Bank Transfer,Pending
202,9579,2024-04-24,2024-05-01,2587.21,0.00,277.20,2587.21,2024-04-28,Credit Card,Paid
203,3367,2020-03-22,2020-03-29,1386.03,65.13,148.50,1386.03,2020-03-26,Corporate Account,Paid
204,23266,2020-10-12,2020-10-19,2295.78,227.76,245.98,0.00,,Corporate Account,Pending
205,18428,2025-04-06,2025-04-13,1277.33,0.00,136.86,0.00,,Corporate Account,Overdue
206,6192,2023-02-20,2023-02-27,1684.40,0.00,180.47,1684.40,2023-02-23,Bank Transfer,Paid
207,7741,2020-06-10,2020-06-17,1584.78,0.00,169.80,1584.78,2020-06-15,Bank Transfer,Paid
208,20991,2025-03-17,2025-03-24,1268.60,0.00,135.92,1268.60,2025-03-19,Credit Card,Paid
209,17457,2020-09-18,2020-09-25,2388.14,0.00,255.87,2388.14,2020-09-19,Bank Transfer,Paid
210,9259,2022-08-20,2022-08-27,2048.96,0.00,219.53,2048.96,2022-08-25,Bank Transfer,Paid
211,12540,2022-07-18,2022-07-25,1175.07,55.22,125.90,1175.07,2022-07-22,Cash,Paid
212,15401,2021-05-13,2021-05-20,5418.11,254.61,580.51,0.00,,Corporate Account,Pending
213,1648,2024-07-22,2024-07-29,2741.76,0.00,293.76,2741.76,2024-07-26,Credit Card,Paid
214,24533,2024-07-16,2024-07-23,398.77,39.56,42.73,0.00,,Credit Card,Pending
215,4200,2021-12-26,2022-01-02,5052.53,237.43,541.34,5052.53,2021-12-28,Bank Transfer,Paid
216,9268,2022-04-20,2022-04-27,2979.65,295.60,319.25,0.00,,Cash,Pending
217,7285,2023-04-20,2023-04-27,1741.60,0.00,186.60,1741.60,2023-04-24,Cash,Paid
218,5724,2022-06-21,2022-06-28,1911.04,301.11,204.75,1911.04,2022-06-24,Credit Card,Paid
219,11951,2020-11-03,2020-11-10,1127.83,0.00,120.84,0.00,,Credit Card,Pending
220,20003,2022-11-15,2022-11-22,1669.45,0.00,178.87,1669.45,2022-11-17,Cash,Paid
221,1123,2020-09-23,2020-09-30,1576.25,0.00,168.88,1576.25,2020-09-25,Corporate Account,Paid
222,23359,2021-09-26,2021-10-03,1507.24,0.00,161.49,1507.24,2021-09-30,Bank Transfer,Paid
223,8683,2022-06-14,2022-06-21,3048.59,0.00,326.63,3048.59,2022-06-19,Cash,Paid
224,7576,2020-06-17,2020-06-24,483.98,22.74,51.86,483.98,2020-06-20,Bank Transfer,Paid
225,12598,2022-09-28,2022-10-05,2917.44,0.00,312.58,2917.44,2022-10-02,Credit Card,Paid
226,7970,2025-01-19,2025-01-26,861.42,85.46,92.29,0.00,,Corporate Account,Pending
227,21025,2021-01-05,2021-01-12,1189.92,0.00,127.49,1189.92,2021-01-06,Credit Card,Paid
228,2906,2025-05-04,2025-05-11,710.58,0.00,76.13,710.58,2025-05-06,Bank Transfer,Paid
229,7334,2024-06-06,2024-06-13,1781.54,0.00,190.88,1781.54,2024-06-06,Cash,Paid
230,19425,2020-06-02,2020-06-09,1613.35,160.05,172.86,1613.35,2020-06-05,Bank Transfer,Paid
231,15839,2024-03-02,2024-03-09,740.24,34.79,79.31,740.24,2024-03-02,Credit Card,Paid
232,22248,2020-02-26,2020-03-04,1973.82,0.00,211.48,1973.82,2020-03-02,Credit Card,Paid
233,21159,2024-01-09,2024-01-16,2391.38,376.79,256.22,2391.38,2024-01-14,Corporate Account,Paid
234,22347,2025-09-27,2025-10-04,2928.30,0.00,313.75,2928.30,2025-09-28,Credit Card,Paid
235,11518,2022-09-28,2022-10-05,1140.38,0.00,122.18,1140.38,2022-09-30,Bank Transfer,Paid
236,24825,2022-07-16,2022-07-23,1744.23,173.04,186.88,0.00,,Credit Card,Overdue
237,10121,2022-04-09,2022-04-16,2367.73,234.89,253.69,2367.73,2022-04-10,Credit Card,Paid
238,5010,2020-02-16,2020-02-23,4104.55,0.00,439.77,4104.55,2020-02-18,Bank Transfer,Paid
239,6717,2025-09-11,2025-09-18,2454.59,0.00,262.99,2454.59,2025-09-11,Credit Card,Paid
240,1634,2020-07-22,2020-07-29,4109.40,647.49,440.29,4109.40,2020-07-27,Credit Card,Paid
241,23112,2025-02-26,2025-03-05,989.31,46.49,106.00,989.31,2025-02-28,Corporate Account,Paid
242,12885,2025-10-19,2025-10-26,3450.81,0.00,369.73,3450.81,2025-10-22,Corporate Account,Paid
243,18877,2021-12-12,2021-12-19,5155.47,0.00,552.37,5155.47,2021-12-13,Credit Card,Paid
244,6789,2023-06-03,2023-06-10,2980.19,0.00,319.31,2980.19,2023-06-08,Bank Transfer,Paid
245,22142,2021-05-27,2021-06-03,4039.29,636.44,432.78,4039.29,2021-06-01,Bank Transfer,Paid
246,11643,2023-01-17,2023-01-24,2869.94,0.00,307.49,2869.94,2023-01-22,Corporate Account,Paid
247,12736,2024-04-18,2024-04-25,1170.68,0.00,125.43,1170.68,2024-04-19,Corporate Account,Paid
248,24316,2025-02-01,2025-02-08,4374.43,0.00,468.69,4374.43,2025-02-03,Bank Transfer,Paid
249,20879,2022-07-21,2022-07-28,4891.93,0.00,524.14,0.00,,Bank Transfer,Pending
250,11527,2022-08-03,2022-08-10,2654.57,0.00,284.42,2654.57,2022-08-03,Credit Card,Paid
251,21200,2021-03-11,2021-03-18,4916.52,487.75,526.77,4916.52,2021-03-15,Corporate Account,Paid
252,3678,2020-12-08,2020-12-15,1940.22,0.00,207.88,1940.22,2020-12-11,Credit Card,Paid
253,2542,2022-07-27,2022-08-03,811.92,0.00,86.99,811.92,2022-07-29,Corporate Account,Paid
254,16413,2024-05-28,2024-06-04,6122.56,287.71,655.99,6122.56,2024-05-28,Cash,Paid
255,7385,2024-02-24,2024-03-02,954.61,0.00,102.28,954.61,2024-02-26,Cash,Paid
256,3725,2023-08-01,2023-08-08,3822.67,0.00,409.57,0.00,,Cash,Pending
257,17325,2022-10-09,2022-10-16,1003.17,0.00,107.48,1003.17,2022-10-10,Corporate Account,Paid
258,11260,2023-10-05,2023-10-12,1088.46,0.00,116.62,1088.46,2023-10-07,Bank Transfer,Paid
259,10039,2025-06-12,2025-06-19,621.39,0.00,66.58,621.39,2025-06-17,Credit Card,Paid
260,24830,2025-01-21,2025-01-28,1924.66,90.44,206.21,1924.66,2025-01-23,Cash,Paid
261,21792,2024-04-21,2024-04-28,3468.74,344.12,371.65,3468.74,2024-04-23,Credit Card,Paid
262,23110,2021-06-10,2021-06-17,4127.82,409.51,442.27,0.00,,Bank Transfer,Pending
