ServiceUsageID,GuestID,ServiceID,UsageDate,Quantity,UnitCost,TotalCost
106,1669,9,2024-12-30,1,9.49,9.49
107,1175,13,2020-12-26,4,21.52,86.09
108,779,9,2020-12-26,1,8.22,8.22
109,2744,10,2025-01-14,1,5.67,5.67
110,2866,7,2022-07-27,1,55.15,55.15
111,2783,3,2020-06-10,3,51.55,154.65
112,112,8,2023-08-30,6,16.10,96.61
113,411,14,2023-02-06,1,17.48,17.48
114,2588,12,2020-08-12,5,48.47,242.37
115,1225,12,2020-05-13,1,54.60,54.60
116,2548,11,2021-10-21,1,29.11,29.11
117,2290,6,2025-03-07,1,78.41,78.41
118,1750,1,2025-11-30,1,23.77,23.77
119,89,8,2024-07-09,6,17.15,102.87
120,1482,15,2024-06-17,1,45.87,45.87
121,540,15,2025-05-27,1,49.92,49.92
122,1830,3,2024-04-19,1,61.66,61.66
123,2056,3,2020-11-26,1,62.59,62.59
124,848,5,2020-06-14,1,8.36,8.36
125,2760,11,2023-02-22,1,25.24,25.24
126,2856,8,2024-02-16,10,12.79,127.92
127,1212,14,2022-01-06,3,14.08,42.25
128,1918,8,2023-11-10,1,15.29,15.29
129,1708,8,2023-09-24,9,13.19,118.72
130,2037,13,2023-09-21,8,21.18,169.42
131,1563,3,2020-01-09,2,51.53,103.06
132,797,8,2023-06-01,6,12.10,72.62
133,2396,4,2021-03-23,1,36.98,36.98
134,1845,14,2021-09-07,3,14.00,42.01
135,2806,7,2021-10-21,1,59.53,59.53
136,2344,6,2023-09-21,1,77.41,77.41
137,1599,6,2021-04-11,1,77.68,77.68
138,851,9,2021-11-02,1,11.14,11.14
139,2193,10,2022-09-30,1,4.63,4.63
140,2599,1,2025-07-26,1,24.74,24.74
141,54,9,2022-09-20,1,10.11,10.11
142,535,9,2024-08-27,1,11.72,11.72
143,2856,13,2020-04-03,5,18.89,94.47
144,1500,13,2025-08-20,2,20.64,41.27
145,528,4,2021-11-28,1,64.35,64.35
146,1463,7,2024-02-07,1,57.97,57.97
147,155,13,2024-08-09,3,19.27,57.82
148,830,15,2025-05-10,1,45.04,45.04
149,1960,12,2025-07-31,3,52.20,156.60
150,1705,1,2020-05-25,1,26.74,26.74
151,1287,7,2024-07-06,1,60.58,60.58
152,2278,2,2022-01-25,2,31.94,63.87
153,231,14,2025-11-14,3,15.31,45.93
154,448,1,2020-06-19,1,24.12,24.12
155,350,5,2025-08-18,1,12.00,12.00
156,306,15,2022-12-25,1,41.27,41.27
157,1607,2,2022-12-17,2,30.23,60.46
158,673,6,2024-12-27,1,78.65,78.65
159,1460,5,2025-03-28,4,12.15,48.58
160,154,14,2024-04-29,3,13.47,40.41
161,1421,3,2025-06-23,1,56.77,56.77
162,870,15,2022-01-01,1,45.03,45.03
163,2,15,2025-09-18,1,40.53,40.53
164,1415,12,2020-01-19,3,53.09,159.28
165,786,14,2021-12-16,2,17.29,34.59
166,2439,15,2021-10-08,1,47.77,47.77
167,2063,10,2022-01-04,1,5.71,5.71
168,1,7,2024-10-10,1,56.05,56.05
169,2404,15,2022-06-17,1,46.40,46.40
170,2216,4,2021-08-03,1,84.86,84.86
171,2415,10,2022-08-02,1,4.48,4.48
172,1863,4,2023-05-28,1,50.21,50.21
173,2515,15,2023-04-11,1,40.55,40.55
174,2624,2,2023-12-25,4,39.76,159.05
175,2537,9,2025-02-19,1,8.39,8.39
176,2404,5,2021-05-26,5,9.41,47.04
177,1118,12,2023-11-25,2,52.25,104.50
178,729,2,2022-06-05,2,33.88,67.77
179,1796,9,2024-04-24,1,8.13,8.13
180,2546,1,2023-03-04,4,26.32,105.30
181,2615,3,2023-05-19,3,54.53,163.60
182,155,11,2023-10-17,1,33.82,33.82
183,2162,3,2025-05-06,3,59.96,179.87
184,497,5,2021-08-02,5,11.39,56.93
185,918,6,2021-03-24,1,82.83,82.83
186,1147,11,2021-03-01,1,34.01,34.01
187,1370,1,2022-01-17,3,25.23,75.69
188,1124,8,2022-05-21,4,13.54,54.17
189,898,10,2022-10-30,1,5.45,5.45
190,2108,8,2021-01-13,5,15.37,76.85
191,573,1,2022-06-12,1,27.39,27.39
192,1510,11,2025-08-16,1,32.24,32.24
193,2774,2,2023-11-25,4,35.05,140.21
194,610,11,2024-10-13,1,29.17,29.17
195,1871,14,2022-06-19,4,16.12,64.49
196,754,4,2025-09-26,1,63.39,63.39
197,12,8,2024-01-27,1,14.62,14.62
198,2557,4,2025-06-16,1,36.71,36.71
199,1913,13,2023-04-14,6,18.98,113.86
200,2427,8,2021-08-17,8,14.67,117.33
201,1113,15,2022-01-05,1,49.96,49.96
202,1646,6,2021-01-22,1,78.94,78.94
203,508,8,2021-06-13,6,13.54,81.26
204,1696,2,2020-09-27,3,30.48,91.44
205,2425,12,2022-06-25,1,50.95,50.95
206,2345,14,2023-06-14,3,14.34,43.01
207,1180,11,2025-02-22,1,31.33,31.33
208,1290,15,2021-04-02,1,46.52,46.52
209,737,13,2023-03-28,3,19.17,57.51
210,2155,9,2023-04-05,1,9.06,9.06
211,2897,2,2023-02-12,4,37.26,149.03
212,798,6,2021-06-06,1,72.62,72.62
213,479,1,2023-01-16,1,27.57,27.57
214,489,15,2022-12-12,1,48.83,48.83
215,1328,4,2023-05-26,1,67.40,67.40
216,1278,2,2023-10-14,2,39.23,78.46
217,2973,13,2022-12-30,1,21.39,21.39
218,980,9,2025-09-21,1,10.46,10.46
219,2056,11,2023-06-16,1,26.78,26.78
220,2809,12,2024-10-27,4,46.28,185.12
221,844,14,2022-06-16,4,17.07,68.30
222,2362,7,2023-04-10,1,59.70,59.70
223,304,11,2024-12-05,1,28.84,28.84
224,2949,13,2025-06-26,2,21.05,42.10
225,1460,15,2020-09-30,1,44.61,44.61
226,1637,2,2021-01-01,4,32.27,129.09
227,545,3,2020-06-25,3,64.00,192.01
228,1910,1,2024-11-11,2,27.98,55.96
229,2578,3,2021-04-27,3,52.52,157.56
230,2968,1,2025-05-18,2,27.76,55.53
231,272,14,2024-01-31,1,16.21,16.21
232,2745,6,2020-04-14,1,87.70,87.70
233,2148,12,2021-10-25,4,45.74,182.94
234,1384,10,2022-11-20,1,4.16,4.16
235,310,12,2023-03-21,4,45.88,183.53
236,2081,6,2023-03-12,1,71.88,71.88
237,766,12,2022-04-26,2,51.31,102.62
238,1776,8,2025-08-30,7,14.21,99.48
239,1326,5,2020-12-21,3,13.68,41.03
240,1791,11,2020-04-12,1,31.92,31.92
241,859,7,2020-07-24,1,55.29,55.29
242,119,2,2020-10-11,4,34.99,139.97
243,1356,3,2020-12-29,2,50.75,101.51
244,532,8,2024-02-08,1,13.43,13.43
245,85,12,2023-05-01,1,51.09,51.09
246,2648,4,2024-10-28,1,70.77,70.77
247,1632,9,2020-10-06,1,9.84,9.84
248,137,11,2022-05-01,1,33.32,33.32
249,937,14,2021-11-24,1,17.79,17.79
250,1893,6,2020-10-28,1,84.27,84.27
251,2623,3,2023-02-25,4,52.69,210.76
252,2954,15,2021-03-10,1,47.89,47.89
253,1258,7,2020-07-26,1,59.07,59.07
254,1897,3,2020-07-11,4,55.84,223.35
255,212,8,2021-07-29,7,17.91,125.39
256,2159,11,2025-07-14,1,28.89,28.89
257,855,6,2023-07-26,1,76.75,76.75
258,1814,2,2025-01-21,1,31.53,31.53
259,646,2,2020-04-17,2,37.53,75.05
260,1439,7,2023-02-06,1,66.19,66.19
261,393,15,2023-05-17,1,42.48,42.48
262,712,5,2023-01-31,6,10.61,63.67
263,2735,14,2024-09-24,1,17.91,17.91
264,2140,12,2023-06-15,1,47.09,47.09
265,2721,9,2020-01-18,1,11.89,11.89
266,434,9,2022-03-05,1,11.01,11.01
267,2822,12,2024-04-01,4,48.16,192.62
268,371,13,2021-08-11,6,18.25,109.50
269,1778,8,2025-10-13,8,14.59,116.75
270,1759,14,2023-09-12,1,17.95,17.95
271,2178,3,2021-02-20,1,51.43,51.43
272,57,11,2021-01-24,1,29.94,29.94
273,569,9,2021-05-24,1,9.53,9.53
274,1594,8,2021-12-08,3,17.62,52.85
275,2879,4,2024-04-23,1,57.93,57.93
276,1310,5,2021-05-08,5,11.86,59.30
277,1830,7,2021-04-10,1,69.07,69.07
278,302,7,2023-02-24,1,57.39,57.39
279,568,3,2020-07-04,4,58.83,235.31
280,2152,8,2022-05-28,10,16.78,167.82
281,2639,7,2024-11-23,1,68.12,68.12
282,959,10,2021-10-25,1,4.64,4.64
283,1438,7,2020-04-04,1,60.56,60.56
284,758,8,2022-07-18,6,15.87,95.23
285,1122,6,2021-02-01,1,86.30,86.30
286,1801,10,2025-05-17,1,5.53,5.53
287,1261,3,2021-01-01,1,53.55,53.55
288,2610,15,2021-02-10,1,46.36,46.36
289,2222,15,2021-11-08,1,40.66,40.66
290,1727,12,2023-12-12,2,46.14,92.29
291,2549,4,2025-08-02,1,47.30,47.30
292,997,15,2025-10-05,1,47.56,47.56
293,1418,11,2024-05-22,1,30.79,30.79
294,1158,3,2021-09-04,1,59.92,59.92
295,1965,9,2024-02-11,1,9.84,9.84
296,2925,3,2023-06-03,4,53.33,213.33
297,2059,14,2020-04-01,1,15.84,15.84
298,381,6,2020-06-11,1,88.12,88.12
299,1442,8,2024-04-11,7,12.73,89.14
300,1897,14,2020-10-24,4,17.22,68.88
301,1729,10,2021-08-24,1,4.32,4.32
302,1746,1,2023-10-21,4,24.94,99.75
303,411,9,2021-06-07,1,10.67,10.67
304,2397,10,2021-08-08,1,5.17,5.17
305,1113,14,2022-03-16,1,17.59,17.59
306,2167,2,2022-10-13,1,39.91,39.91
307,878,2,2020-03-13,1,35.80,35.80
308,2107,10,2023-01-11,1,4.34,4.34
309,2655,9,2021-12-21,1,8.13,8.13
310,435,15,2021-08-12,1,45.84,45.84
311,995,5,2020-09-19,6,14.97,89.85
312,1741,8,2020-07-03,3,14.54,43.62
313,1309,1,2022-01-05,4,26.87,107.47
314,521,10,2025-12-15,1,4.68,4.68
315,1841,1,2024-01-17,4,25.39,101.55
316,1201,6,2020-08-24,1,72.31,72.31
317,122,2,2023-11-21,4,36.43,145.74
318,1697,15,2024-10-07,1,47.86,47.86
319,1831,13,2025-01-19,6,18.15,108.92
320,2702,8,2025-10-28,9,12.76,114.82
321,1306,1,2025-12-25,4,25.20,100.79
322,256,10,2020-01-24,1,4.81,4.81
323,1736,11,2023-05-17,1,31.24,31.24
324,292,6,2021-08-27,1,74.16,74.16
325,2332,11,2020-11-11,1,32.06,32.06
326,1817,3,2025-09-04,2,56.25,112.50
327,1533,5,2020-03-06,6,9.09,54.56
328,2608,1,2025-09-20,1,24.11,24.11
329,2418,7,2021-04-26,1,58.63,58.63
330,2379,7,2023-05-13,1,55.06,55.06
331,287,3,2021-03-29,1,58.80,58.80
332,1093,13,2021-03-25,4,18.59,74.37
333,1571,13,2022-05-05,6,20.92,125.52
334,1712,5,2020-07-25,6,13.97,83.84
335,1849,7,2022-09-14,1,65.73,65.73
336,2860,11,2020-01-24,1,27.45,27.45
337,579,4,2024-10-19,1,44.92,44.92
338,1478,3,2021-12-05,4,59.16,236.65
339,1373,7,2022-09-22,1,65.82,65.82
340,1095,4,2023-10-07,1,51.67,51.67
341,270,13,2024-01-06,4,20.90,83.59
342,2745,13,2025-10-13,4,19.29,77.14
343,1716,12,2025-12-11,1,51.12,51.12
344,640,1,2022-08-03,1,26.97,26.97
345,1078,9,2023-06-07,1,10.97,10.97
346,2852,5,2025-04-28,2,11.24,22.47
347,1078,3,2024-10-05,2,54.43,108.87
348,762,13,2022-03-07,8,20.51,164.07
349,279,7,2024-08-25,1,58.83,58.83
350,2010,3,2021-03-10,4,54.00,216.00
351,2047,12,2025-04-25,6,51.84,311.04
352,1177,15,2020-01-28,1,47.98,47.98
353,1162,9,2023-08-09,1,9.29,9.29
354,2185,6,2020-08-27,1,88.34,88.34
355,2522,1,2024-10-13,4,23.73,94.91
356,2372,7,2022-06-14,1,55.59,55.59
357,2711,10,2021-06-12,1,5.87,5.87
358,2721,8,2023-09-24,8,12.23,97.85
359,1974,14,2024-08-18,1,17.06,17.06
360,1578,15,2024-06-01,1,43.64,43.64
361,639,13,2020-01-16,1,19.07,19.07
362,2362,8,2020-01-10,8,17.42,139.33
363,1981,9,2021-06-04,1,9.41,9.41
364,688,8,2023-03-13,3,12.39,37.17
365,1081,1,2024-12-26,4,24.75,99.02
366,1029,15,2023-03-31,1,48.98,48.98
367,299,3,2023-12-02,4,59.43,237.72
368,2444,10,2021-06-05,1,4.05,4.05
369,171,10,2024-05-08,1,5.42,5.42
370,1921,6,2025-03-25,1,81.45,81.45
371,1121,12,2021-12-15,5,49.54,247.71
372,1431,5,2024-08-23,3,13.77,41.30
373,894,15,2020-05-21,1,49.09,49.09
374,2794,1,2025-06-21,3,22.36,67.07
375,786,9,2023-05-04,1,9.42,9.42
376,1249,4,2025-07-29,1,73.09,73.09
377,2046,7,2024-08-20,1,59.67,59.67
378,1882,10,2025-06-30,1,4.71,4.71
379,2231,15,2023-03-27,1,40.04,40.04
380,2544,8,2024-10-14,10,13.24,132.38
381,1766,9,2020-11-30,1,10.71,10.71
382,2994,15,2022-09-26,1,41.36,41.36
383,772,8,2021-10-12,3,12.37,37.10
384,232,3,2021-09-26,4,55.58,222.31
385,1625,3,2024-09-11,3,61.69,185.08
386,2104,12,2023-04-03,4,45.65,182.61
387,1212,7,2023-12-28,1,59.03,59.03
388,1353,14,2024-03-14,1,17.78,17.78
389,2526,1,2020-02-15,3,22.25,66.76
390,216,8,2024-01-08,6,13.45,80.67
391,2240,9,2021-10-20,1,8.32,8.32
392,1792,2,2025-04-02,2,39.85,79.71
393,2941,1,2020-01-28,3,26.18,78.53
394,2021,1,2024-09-10,4,23.26,93.06
395,2497,15,2021-10-06,1,43.45,43.45
396,1270,4,2024-06-03,1,44.28,44.28
397,415,7,2022-05-01,1,58.87,58.87
398,2972,12,2021-02-21,2,53.94,107.88
399,980,3,2025-08-13,3,63.15,189.45
400,1123,12,2025-03-28,6,51.39,308.31
401,1599,12,2023-03-28,3,46.10,138.31
402,1201,4,2023-12-18,1,68.54,68.54
403,1429,14,2025-02-05,4,16.09,64.37
404,216,15,2025-03-04,1,48.90,48.90
405,1248,3,2020-11-21,3,51.03,153.08
406,546,14,2022-05-05,2,16.00,32.00
407,2106,8,2022-04-19,2,16.68,33.35
408,751,13,2023-06-18,1,20.03,20.03
409,2313,14,2024-12-29,2,17.47,34.93
410,321,1,2021-06-30,4,26.89,107.57
411,956,15,2022-06-02,1,43.82,43.82
412,737,14,2025-05-28,2,16.53,33.06
413,2164,15,2022-10-07,1,45.90,45.90
414,2579,4,2024-05-19,1,41.54,41.54
415,151,11,2023-08-24,1,31.42,31.42
416,1297,2,2023-07-23,2,34.71,69.43
417,777,3,2023-08-11,3,61.92,185.75
418,987,5,2023-10-03,5,12.24,61.19
419,1452,6,2022-05-04,1,83.86,83.86
420,1153,4,2024-07-21,1,54.43,54.43
421,219,6,2020-04-03,1,74.27,74.27
422,2774,3,2020-06-21,3,62.38,187.14
423,2922,7,2022-12-30,1,66.23,66.23
424,701,10,2022-02-03,1,4.30,4.30
425,326,15,2020-01-27,1,48.61,48.61
426,2780,15,2020-03-18,1,49.44,49.44
427,703,13,2022-05-18,6,19.05,114.28
428,1971,3,2025-06-30,1,59.85,59.85
429,36,2,2020-12-28,1,30.14,30.14
430,2998,13,2020-05-20,2,18.06,36.11
431,952,7,2020-12-22,1,60.56,60.56
432,1829,5,2022-07-01,1,11.36,11.36
433,2526,7,2022-02-06,1,59.26,59.26
434,1440,6,2022-04-22,1,73.14,73.14
435,2102,14,2020-05-02,1,12.09,12.09
436,174,13,2023-02-28,1,19.97,19.97
437,659,14,2021-03-12,3,16.28,48.84
438,700,12,2023-11-18,3,45.42,136.26
439,1427,12,2022-04-01,3,51.83,155.49
440,1644,15,2023-02-08,1,47.16,47.16
441,1710,8,2020-07-09,5,17.80,88.99
442,2603,1,2022-02-16,4,27.15,108.60
443,1799,2,2023-09-29,2,33.86,67.71
444,611,14,2023-05-17,2,17.77,35.53
445,2678,11,2024-08-12,1,29.08,29.08
446,1025,14,2023-09-30,3,14.00,42.01
447,827,15,2024-04-26,1,43.16,43.16
448,1367,5,2024-12-15,6,12.36,74.14
449,1547,6,2020-08-02,1,74.86,74.86
450,2475,15,2024-06-06,1,41.98,41.98
451,768,11,2023-11-03,1,28.87,28.87
452,2589,4,2020-06-20,1,75.55,75.55
453,1264,3,2025-08-12,3,51.22,153.67
454,571,15,2025-11-18,1,48.12,48.12
455,1298,14,2021-03-26,2,14.87,29.74
456,2324,4,2021-02-13,1,36.36,36.36
457,567,9,2021-03-01,1,9.32,9.32
458,2267,13,2024-07-18,2,20.65,41.30
459,1296,12,2023-08-28,3,54.13,162.40
460,1282,13,2022-06-13,3,20.51,61.52
461,1886,10,2020-09-10,1,4.51,4.51
462,808,10,2025-08-16,1,4.20,4.20
463,1403,1,2022-02-17,2,25.50,51.00
464,460,6,2023-11-29,1,87.05,87.05
465,2379,1,2021-03-19,3,24.52,73.55
466,2289,15,2021-12-26,1,41.29,41.29
467,1982,11,2025-03-03,1,25.64,25.64
468,280,4,2020-03-21,1,76.38,76.38
469,2406,5,2020-03-07,6,10.06,60.34
470,1080,12,2022-09-16,3,47.40,142.21
471,373,6,2023-12-09,1,76.82,76.82
472,2709,2,2025-07-13,2,31.37,62.74
473,1313,15,2025-09-08,1,45.76,45.76
474,2020,7,2022-08-18,1,61.71,61.71
475,521,9,2020-07-25,1,10.91,10.91
476,956,4,2025-02-03,1,54.40,54.40
477,2909,9,2021-07-16,1,11.98,11.98
478,2568,13,2023-11-10,5,19.85,99.24
479,2717,11,2025-10-08,1,28.52,28.52
480,110,9,2025-05-16,1,9.20,9.20
481,2110,14,2024-09-10,3,17.32,51.96
482,108,12,2023-01-12,2,51.65,103.29
483,637,12,2024-12-06,2,50.51,101.03
484,2741,8,2022-07-12,2,17.99,35.98
485,85,1,2021-06-18,3,25.97,77.91
486,1471,8,2021-02-24,10,17.00,170.03
487,390,4,2024-04-16,1,51.40,51.40
488,874,6,2022-08-26,1,76.35,76.35
489,1013,11,2020-04-27,1,27.22,27.22
490,1873,6,2025-10-19,1,73.02,73.02
491,78,1,2021-12-23,4,26.60,106.40
492,487,3,2020-02-15,1,60.09,60.09
493,445,9,2022-04-22,1,11.61,11.61
494,2591,7,2022-11-04,1,61.76,61.76
495,1289,1,2025-12-26,4,22.38,89.53
496,2444,15,2022-07-01,1,40.47,40.47
497,1851,8,2023-09-25,1,15.58,15.58
498,97,5,2024-04-11,6,10.93,65.57
499,1584,15,2021-05-13,1,41.25,41.25
500,1995,1,2020-02-10,3,25.66,76.97
501,51,3,2022-10-03,1,62.45,62.45
502,1972,12,2020-06-08,4,46.09,184.38
503,1124,1,2023-08-27,4,27.67,110.70
504,59,15,2025-08-19,1,43.11,43.11
505,2563,10,2021-02-26,1,4.50,4.50
506,1605,2,2023-02-10,1,32.70,32.70
507,455,6,2025-06-20,1,72.11,72.11
508,2278,2,2021-04-04,2,35.13,70.27
509,1441,14,2021-09-19,2,14.21,28.43
510,710,13,2024-01-24,6,21.75,130.50
511,2076,13,2023-11-08,5,20.01,100.05
512,1498,4,2020-06-17,1,38.30,38.30
513,920,6,2021-06-05,1,80.59,80.59
514,149,14,2025-02-05,2,17.27,34.54
515,931,12,2025-08-19,2,45.98,91.96
516,1917,14,2020-05-24,4,15.77,63.07
517,799,14,2024-02-23,4,16.22,64.88
518,2199,15,2023-10-14,1,49.51,49.51
519,1747,9,2020-03-17,1,8.47,8.47
520,2519,9,2025-01-30,1,9.03,9.03
521,2974,10,2021-08-25,1,5.19,5.19
522,2157,1,2021-05-05,2,22.93,45.86
523,853,14,2023-12-09,4,12.97,51.88
524,1839,14,2021-11-27,1,15.96,15.96
525,419,14,2025-05-28,2,12.34,24.67
526,1103,1,2020-07-31,3,23.54,70.62
527,2289,9,2025-04-11,1,9.97,9.97
528,1310,14,2025-01-04,1,13.31,13.31
529,2286,2,2024-10-29,4,34.79,139.17
530,768,4,2024-03-30,1,56.04,56.04
531,207,1,2020-10-24,3,23.34,70.01
532,1843,11,2020-04-28,1,33.18,33.18
533,73,10,2024-03-02,1,5.79,5.79
534,536,3,2025-04-19,1,59.08,59.08
535,2894,2,2024-07-15,3,39.56,118.68
536,2394,4,2022-01-07,1,42.51,42.51
537,1764,2,2022-04-05,3,36.92,110.76
538,986,4,2020-03-13,1,56.76,56.76
539,1185,14,2020-04-06,2,15.39,30.78
540,1547,3,2020-01-23,3,51.78,155.33
541,1466,13,2020-06-30,5,20.23,101.17
542,1143,10,2021-01-28,1,4.27,4.27
543,1779,4,2025-05-21,1,48.73,48.73
544,2080,7,2022-01-17,1,65.56,65.56
545,977,11,2021-05-26,1,32.97,32.97
546,2156,5,2022-08-01,5,14.67,73.37
547,434,14,2021-12-31,1,14.94,14.94
548,2751,11,2020-02-05,1,31.09,31.09
549,900,6,2024-01-15,1,72.99,72.99
550,1090,1,2023-07-05,2,22.74,45.48
551,2938,2,2021-02-07,3,38.42,115.26
552,2523,7,2021-09-16,1,67.89,67.89
553,1571,4,2023-09-11,1,80.16,80.16
554,765,9,2024-05-05,1,10.23,10.23
555,1398,4,2021-01-02,1,73.67,73.67
556,389,11,2023-04-12,1,28.08,28.08
557,260,11,2024-11-07,1,29.34,29.34
558,1830,5,2021-11-03,3,13.84,41.51
559,36,1,2024-03-03,2,23.79,47.58
560,1204,8,2024-03-11,2,14.59,29.18
561,2328,12,2023-05-10,3,46.05,138.15
562,2140,2,2022-06-27,3,35.10,105.29
563,419,1,2020-08-19,4,22.70,90.81
564,883,9,2021-07-19,1,8.71,8.71
565,642,7,2025-10-22,1,60.66,60.66
566,105,14,2020-12-13,3,17.86,53.59
567,1461,1,2020-06-01,1,27.20,27.20
568,396,8,2023-03-16,2,17.18,34.36
569,1506,12,2021-07-19,4,54.84,219.37
570,1573,11,2021-01-06,1,28.06,28.06
571,2859,10,2025-07-19,1,4.28,4.28
572,2401,8,2024-11-20,6,15.90,95.41
573,1125,6,2024-02-22,1,81.17,81.17
574,2306,3,2021-06-19,1,56.66,56.66
575,2927,9,2022-07-09,1,8.79,8.79
576,2416,13,2020-09-25,7,21.64,151.49
577,767,12,2022-12-20,1,45.57,45.57
578,2664,1,2023-07-01,2,24.56,49.12
579,1852,3,2023-09-19,3,51.55,154.66
580,236,13,2020-03-27,8,20.66,165.27
581,1771,10,2021-12-24,1,5.11,5.11
582,2255,9,2020-08-16,1,9.07,9.07
583,2908,13,2020-03-13,3,19.22,57.67
584,1505,15,2023-04-13,1,40.32,40.32
585,1347,7,2022-12-27,1,55.76,55.76
586,384,3,2020-08-22,3,56.38,169.14
587,2016,4,2023-10-26,1,74.34,74.34
