BillingItemID,BillingID,ItemType,ItemName,Quantity,UnitPrice,TotalPrice,ServiceDate
103,20,F&B,Restaurant - Breakfast,2,27.09,54.18,2/27/2022
104,21,Room Charge,Deluxe Room,7,268.66,1880.63,4/25/2022
105,21,F&B,Restaurant - Dinner,2,57.83,115.66,4/25/2022
106,22,Room Charge,Deluxe Room,1,257.05,257.05,6/15/2022
107,22,Technology,WiFi Access,1,6.4,6.4,6/16/2022
108,23,Room Charge,Deluxe Room,7,275.71,1929.95,2/8/2021
109,23,Wellness,Spa Treatment,2,87.85,175.69,2/9/2021
110,23,Business,Business Center,1,14.86,14.86,2/10/2021
111,23,Business,Business Center,1,19.89,19.89,2/10/2021
112,23,Wellness,Spa Treatment,2,75.61,151.22,2/12/2021
113,24,Room Charge,Suite,2,351.44,702.87,7/8/2020
114,24,Wellness,Gym Access,1,10.09,10.09,7/8/2020
115,24,F&B,Restaurant - Dinner,4,45.18,180.74,7/10/2020
116,24,F&B,Restaurant - Breakfast,4,34.24,136.96,7/11/2020
117,24,F&B,Room Service,4,42.6,170.39,7/11/2020
118,25,Room Charge,Standard Room,1,214.22,214.22,9/3/2022
119,25,F&B,Bar Service,3,23.67,71.01,9/4/2022
120,25,Transportation,Airport Transfer,1,26.4,26.4,9/5/2022
121,25,F&B,Bar Service,2,14.4,28.81,9/7/2022
122,25,Business,Business Center,1,15.69,15.69,9/8/2022
123,26,Room Charge,Suite,3,435.01,1305.03,7/12/2025
124,26,Wellness,Gym Access,2,9.11,18.23,7/14/2025
125,26,Technology,WiFi Access,1,4.66,4.66,7/14/2025
126,26,F&B,Restaurant - Lunch,4,31.52,126.09,7/16/2025
127,27,Room Charge,Deluxe Room,4,208.66,834.65,11/8/2022
128,27,Wellness,Spa Treatment,1,96.31,96.31,11/9/2022
129,27,Wellness,Massage Therapy,1,73.21,73.21,11/10/2022
130,27,F&B,Restaurant - Dinner,4,49.45,197.8,11/11/2022
131,27,Wellness,Gym Access,2,11.86,23.73,11/13/2022
132,27,F&B,Bar Service,2,13.89,27.78,11/14/2022
133,28,Room Charge,Suite,5,544.88,2724.42,1/22/2021
134,29,Room Charge,Suite,2,514.19,1028.39,5/20/2024
135,30,Room Charge,Standard Room,7,229.97,1609.78,8/3/2021
136,30,Transportation,Airport Transfer,1,28.74,28.74,8/3/2021
137,30,F&B,Bar Service,2,20.43,40.85,8/3/2021
138,30,Business,Business Center,1,16.63,16.63,8/3/2021
139,30,F&B,Bar Service,1,17.92,17.92,8/3/2021
140,31,Room Charge,Standard Room,4,220.2,880.79,5/31/2024
141,31,F&B,Restaurant - Lunch,1,35.24,35.24,6/2/2024
142,31,F&B,Restaurant - Lunch,4,30.19,120.74,6/2/2024
143,32,Room Charge,Suite,4,435.69,1742.74,8/11/2025
144,32,Wellness,Massage Therapy,1,63.25,63.25,8/11/2025
145,32,Business,Business Center,1,13.4,13.4,8/11/2025
146,32,Wellness,Spa Treatment,1,65.22,65.22,8/13/2025
147,33,Room Charge,Suite,4,450.45,1801.82,11/6/2021
148,33,Business,Business Center,1,19.85,19.85,11/8/2021
149,33,F&B,Restaurant - Lunch,1,47.45,47.45,11/10/2021
150,33,Wellness,Spa Treatment,1,91.8,91.8,11/10/2021
151,34,Room Charge,Standard Room,4,239.11,956.45,11/19/2025
152,34,F&B,Restaurant - Lunch,1,36.03,36.03,11/21/2025
153,34,F&B,Restaurant - Breakfast,3,29.38,88.14,11/22/2025
154,34,F&B,Room Service,3,36.16,108.48,11/22/2025
155,35,Room Charge,Suite,5,476.44,2382.19,2/9/2023
156,35,F&B,Restaurant - Breakfast,2,33.43,66.85,2/11/2023
157,36,Room Charge,Deluxe Room,3,236.93,710.79,5/4/2023
158,36,Business,Business Center,1,13.19,13.19,5/5/2023
159,36,Transportation,Airport Transfer,1,33.81,33.81,5/6/2023
160,37,Room Charge,Standard Room,4,269.35,1077.38,4/8/2023
161,37,Wellness,Gym Access,1,14.77,14.77,4/8/2023
162,37,Technology,WiFi Access,1,6.39,6.39,4/10/2023
163,37,Wellness,Gym Access,2,11.26,22.51,4/10/2023
164,37,Guest Service,Laundry Service,1,24.86,24.86,4/12/2023
165,37,Wellness,Spa Treatment,1,74.52,74.52,4/12/2023
166,38,Room Charge,Suite,3,505.91,1517.72,12/26/2025
167,38,F&B,Bar Service,4,16.72,66.87,12/26/2025
168,38,Business,Business Center,1,15.7,15.7,12/27/2025
169,39,Room Charge,Standard Room,5,300.07,1500.35,5/27/2022
170,39,Wellness,Spa Treatment,2,113.17,226.35,5/29/2022
171,39,Wellness,Spa Treatment,1,101.94,101.94,5/29/2022
172,39,Technology,WiFi Access,1,3.09,3.09,5/31/2022
173,39,Transportation,Airport Transfer,1,25.4,25.4,6/1/2022
174,40,Room Charge,Deluxe Room,4,180.35,721.38,4/5/2021
175,40,Transportation,Airport Transfer,1,32.24,32.24,4/7/2021
176,40,F&B,Restaurant - Dinner,4,79.08,316.33,4/9/2021
177,41,Room Charge,Standard Room,6,347.21,2083.29,7/20/2025
178,41,Wellness,Spa Treatment,2,118.47,236.94,7/20/2025
179,41,F&B,Restaurant - Lunch,2,39.11,78.22,7/22/2025
180,41,F&B,Restaurant - Dinner,4,46.95,187.8,7/24/2025
181,41,F&B,Restaurant - Dinner,4,67.29,269.17,7/24/2025
182,41,F&B,Bar Service,2,11.9,23.79,7/24/2025
183,41,F&B,Restaurant - Breakfast,2,24.15,48.3,7/26/2025
184,42,Room Charge,Standard Room,1,182.07,182.07,5/11/2022
185,42,F&B,Restaurant - Lunch,3,32.58,97.73,5/12/2022
186,42,F&B,Restaurant - Lunch,4,43.29,173.18,5/14/2022
187,42,Wellness,Massage Therapy,1,70.7,70.7,5/14/2022
188,42,Wellness,Massage Therapy,1,74.36,74.36,5/16/2022
189,42,F&B,Restaurant - Lunch,2,39.29,78.59,5/18/2022
190,43,Room Charge,Deluxe Room,2,213.09,426.18,5/2/2022
191,43,Wellness,Gym Access,1,14.13,14.13,5/2/2022
192,44,Room Charge,Standard Room,3,210.42,631.25,1/20/2024
193,44,F&B,Restaurant - Dinner,4,51.63,206.5,1/21/2024
194,44,Business,Business Center,1,11.79,11.79,1/23/2024
195,44,F&B,Restaurant - Lunch,4,47.54,190.18,1/23/2024
196,44,F&B,Room Service,4,58.54,234.18,1/25/2024
197,45,Room Charge,Deluxe Room,4,161.82,647.28,5/17/2024
198,45,F&B,Restaurant - Lunch,3,43,129.01,5/18/2024
199,45,F&B,Restaurant - Lunch,4,47.16,188.63,5/20/2024
200,46,Room Charge,Standard Room,7,382.91,2680.35,5/4/2022
201,46,F&B,Bar Service,2,16.47,32.94,5/6/2022
202,46,Guest Service,Laundry Service,2,17.75,35.5,5/7/2022
203,47,Room Charge,Deluxe Room,3,298.99,896.96,12/23/2020
204,47,Wellness,Gym Access,2,13.95,27.9,12/25/2020
205,47,F&B,Room Service,4,58.2,232.78,12/26/2020
206,47,F&B,Restaurant - Lunch,4,42.68,170.72,12/27/2020
207,47,Guest Service,Laundry Service,2,24.97,49.95,12/29/2020
208,47,F&B,Room Service,1,55.21,55.21,12/29/2020
209,48,Room Charge,Suite,6,310.79,1864.76,12/26/2025
210,48,F&B,Bar Service,2,14.15,28.3,12/27/2025
211,48,Transportation,Airport Transfer,1,33.15,33.15,12/27/2025
212,49,Room Charge,Standard Room,6,312.22,1873.33,12/27/2021
213,50,Room Charge,Suite,5,580.11,2900.55,8/16/2020
214,50,F&B,Bar Service,1,14.51,14.51,8/16/2020
215,51,Room Charge,Standard Room,3,236.69,710.06,9/10/2021
216,51,F&B,Restaurant - Breakfast,2,29.31,58.62,9/10/2021
217,52,Room Charge,Deluxe Room,4,233.75,934.99,12/18/2024
218,52,Business,Business Center,1,13.83,13.83,12/18/2024
219,52,F&B,Room Service,4,49.3,197.19,12/18/2024
220,52,Technology,WiFi Access,1,7.88,7.88,12/18/2024
221,52,Wellness,Gym Access,1,8.84,8.84,12/19/2024
222,53,Room Charge,Deluxe Room,3,197.86,593.58,7/9/2023
223,53,Guest Service,Laundry Service,1,14.39,14.39,7/11/2023
224,53,F&B,Restaurant - Lunch,1,33.05,33.05,7/13/2023
225,54,Room Charge,Deluxe Room,2,157.64,315.29,10/6/2021
226,54,F&B,Bar Service,4,18.64,74.58,10/7/2021
227,54,F&B,Bar Service,4,24.68,98.72,10/8/2021
228,54,F&B,Restaurant - Breakfast,1,30.59,30.59,10/10/2021
229,54,Guest Service,Laundry Service,2,17.67,35.34,10/12/2021
230,54,Business,Business Center,1,16.59,16.59,10/14/2021
231,55,Room Charge,Standard Room,7,152.04,1064.26,5/1/2023
232,55,Guest Service,Laundry Service,2,19.01,38.02,5/1/2023
233,56,Room Charge,Suite,4,419.58,1678.34,10/25/2025
234,56,Technology,WiFi Access,1,5.05,5.05,10/26/2025
235,56,Wellness,Gym Access,2,12.82,25.64,10/26/2025
236,56,F&B,Restaurant - Dinner,2,58.67,117.34,10/28/2025
237,56,Business,Business Center,1,10.04,10.04,10/29/2025
238,56,Technology,WiFi Access,1,6.11,6.11,10/30/2025
239,57,Room Charge,Standard Room,1,151.02,151.02,6/3/2021
240,57,Wellness,Spa Treatment,2,65.37,130.73,6/4/2021
241,57,Guest Service,Laundry Service,2,20.01,40.02,6/4/2021
242,57,F&B,Restaurant - Dinner,3,73.78,221.34,6/4/2021
243,57,Wellness,Gym Access,1,11.29,11.29,6/4/2021
244,58,Room Charge,Deluxe Room,4,230.7,922.78,1/14/2023
245,58,Business,Business Center,1,19.78,19.78,1/16/2023
246,58,Transportation,Airport Transfer,1,28.96,28.96,1/18/2023
247,59,Room Charge,Deluxe Room,5,198.82,994.09,6/26/2022
248,59,Wellness,Spa Treatment,2,75.55,151.1,6/26/2022
249,59,Wellness,Spa Treatment,1,70.85,70.85,6/28/2022
250,59,Wellness,Spa Treatment,2,83.85,167.7,6/30/2022
251,59,F&B,Restaurant - Lunch,2,38.28,76.57,7/1/2022
252,59,Guest Service,Laundry Service,2,16.61,33.23,7/3/2022
253,60,Room Charge,Standard Room,2,346.53,693.06,1/1/2024
254,60,F&B,Restaurant - Lunch,4,43.15,172.61,1/3/2024
255,60,F&B,Restaurant - Lunch,2,31.72,63.43,1/4/2024
256,60,F&B,Restaurant - Lunch,4,31.76,127.03,1/5/2024
257,61,Room Charge,Standard Room,6,336.47,2018.81,8/9/2020
258,61,Business,Business Center,1,19.76,19.76,8/10/2020
259,61,Wellness,Spa Treatment,2,72.87,145.74,8/11/2020
260,61,Guest Service,Laundry Service,1,22.57,22.57,8/13/2020
261,62,Room Charge,Suite,3,443.12,1329.35,2/5/2022
262,62,Wellness,Massage Therapy,1,97.97,97.97,2/7/2022
263,62,Transportation,Airport Transfer,1,27.67,27.67,2/7/2022
264,62,Wellness,Massage Therapy,1,72.67,72.67,2/7/2022
265,62,Technology,WiFi Access,1,3.41,3.41,2/8/2022
266,62,F&B,Room Service,3,49.99,149.97,2/10/2022
267,63,Room Charge,Standard Room,2,107.72,215.44,8/16/2020
268,63,F&B,Restaurant - Lunch,4,31.32,125.29,8/17/2020
269,64,Room Charge,Deluxe Room,7,234.13,1638.93,4/13/2025
270,64,F&B,Bar Service,2,10.4,20.81,4/14/2025
271,64,Guest Service,Laundry Service,2,22.9,45.81,4/15/2025
272,65,Room Charge,Deluxe Room,1,198.92,198.92,2/26/2020
273,65,Wellness,Gym Access,2,11.88,23.76,2/26/2020
274,65,Business,Business Center,1,13.84,13.84,2/27/2020
275,65,Wellness,Gym Access,2,13.72,27.44,2/27/2020
276,65,Technology,WiFi Access,1,6.31,6.31,2/29/2020
277,65,F&B,Room Service,1,53.21,53.21,2/29/2020
278,65,F&B,Room Service,4,26.74,106.95,2/29/2020
279,66,Room Charge,Deluxe Room,4,265.86,1063.45,6/3/2023
280,66,Technology,WiFi Access,1,7.42,7.42,6/3/2023
281,67,Room Charge,Deluxe Room,2,167.87,335.74,3/30/2024
282,67,Wellness,Massage Therapy,2,74.77,149.54,3/30/2024
283,67,Guest Service,Laundry Service,2,12.96,25.92,3/30/2024
284,67,Business,Business Center,1,15.54,15.54,3/30/2024
285,68,Room Charge,Deluxe Room,1,255.28,255.28,1/14/2021
286,68,Business,Business Center,1,18.88,18.88,1/16/2021
287,68,F&B,Restaurant - Breakfast,1,34.81,34.81,1/16/2021
288,68,F&B,Restaurant - Dinner,4,73.76,295.04,1/18/2021
289,69,Room Charge,Deluxe Room,2,237.47,474.95,12/16/2022
290,69,F&B,Restaurant - Breakfast,3,21.02,63.06,12/18/2022
291,69,Business,Business Center,1,13.76,13.76,12/18/2022
292,70,Room Charge,Suite,5,544.85,2724.25,12/28/2021
293,70,Wellness,Gym Access,1,10.93,10.93,12/30/2021
294,70,Guest Service,Laundry Service,2,12.97,25.95,12/31/2021
295,70,F&B,Restaurant - Lunch,3,30.99,92.97,1/2/2022
296,70,F&B,Bar Service,2,17.03,34.05,1/3/2022
297,71,Room Charge,Deluxe Room,7,235.61,1649.28,5/7/2025
298,72,Room Charge,Suite,3,577.77,1733.32,5/20/2022
299,72,Wellness,Spa Treatment,1,97.37,97.37,5/20/2022
300,72,F&B,Bar Service,1,15.93,15.93,5/20/2022
301,73,Room Charge,Standard Room,7,158.12,1106.81,4/23/2023
302,73,Wellness,Spa Treatment,1,113.43,113.43,4/23/2023
303,73,Wellness,Spa Treatment,1,88.25,88.25,4/25/2023
304,73,F&B,Room Service,3,50.11,150.33,4/26/2023
305,73,Wellness,Spa Treatment,1,108.7,108.7,4/28/2023
306,73,Wellness,Massage Therapy,1,69.83,69.83,4/30/2023
307,73,F&B,Room Service,4,34.24,136.95,4/30/2023
308,74,Room Charge,Standard Room,1,250.52,250.52,2/14/2024
309,74,Technology,WiFi Access,1,3.39,3.39,2/16/2024
310,75,Room Charge,Suite,3,454.54,1363.62,9/1/2024
311,75,F&B,Restaurant - Breakfast,4,34.56,138.25,9/3/2024
312,75,Business,Business Center,1,12.76,12.76,9/5/2024
313,75,F&B,Room Service,2,54.77,109.54,9/7/2024
314,75,Wellness,Massage Therapy,2,53.47,106.94,9/8/2024
315,75,Wellness,Massage Therapy,1,59.6,59.6,9/8/2024
316,76,Room Charge,Standard Room,7,322.9,2260.29,7/18/2024
317,76,F&B,Bar Service,2,18.76,37.51,7/19/2024
318,76,F&B,Restaurant - Lunch,1,30.15,30.15,7/21/2024
319,77,Room Charge,Standard Room,6,381.18,2287.07,3/7/2020
320,77,F&B,Restaurant - Lunch,2,49.75,99.5,3/9/2020
321,77,F&B,Restaurant - Lunch,3,46.56,139.69,3/11/2020
322,77,Guest Service,Laundry Service,2,15.86,31.72,3/11/2020
323,78,Room Charge,Deluxe Room,7,290.06,2030.4,5/26/2024
324,79,Room Charge,Deluxe Room,1,211.9,211.9,6/19/2022
325,79,Wellness,Gym Access,1,9.22,9.22,6/21/2022
326,79,Wellness,Spa Treatment,1,91.56,91.56,6/22/2022
327,79,Transportation,Airport Transfer,1,29.72,29.72,6/22/2022
328,79,Transportation,Airport Transfer,1,30.29,30.29,6/23/2022
329,79,Wellness,Gym Access,2,8.09,16.18,6/23/2022
330,80,Room Charge,Deluxe Room,5,215.38,1076.9,11/17/2024
331,80,F&B,Room Service,2,40.39,80.79,11/19/2024
332,80,Transportation,Airport Transfer,1,31.9,31.9,11/20/2024
333,80,Technology,WiFi Access,1,7.13,7.13,11/22/2024
334,80,Wellness,Gym Access,1,13.4,13.4,11/23/2024
335,81,Room Charge,Deluxe Room,1,225.51,225.51,12/17/2022
336,81,F&B,Bar Service,2,11.4,22.8,12/19/2022
337,81,F&B,Room Service,3,52.64,157.91,12/21/2022
338,81,Transportation,Airport Transfer,1,28.16,28.16,12/21/2022
339,82,Room Charge,Standard Room,5,312.21,1561.03,10/28/2024
340,82,Technology,WiFi Access,1,4.2,4.2,10/28/2024
341,82,Technology,WiFi Access,1,6.2,6.2,10/28/2024
342,83,Room Charge,Suite,7,307.33,2151.32,10/25/2023
343,83,Wellness,Gym Access,2,14.21,28.41,10/25/2023
344,84,Room Charge,Suite,1,410.48,410.48,11/6/2024
345,84,Wellness,Spa Treatment,2,115.79,231.59,11/8/2024
346,84,Wellness,Spa Treatment,2,111.91,223.82,11/9/2024
347,84,F&B,Room Service,1,33.79,33.79,11/10/2024
348,85,Room Charge,Deluxe Room,4,177.49,709.94,10/4/2022
349,85,Technology,WiFi Access,1,4.25,4.25,10/5/2022
350,85,Business,Business Center,1,12.07,12.07,10/5/2022
351,85,Wellness,Spa Treatment,2,106.78,213.57,10/6/2022
352,85,F&B,Bar Service,2,16.1,32.2,10/7/2022
353,85,Technology,WiFi Access,1,5.4,5.4,10/7/2022
354,86,Room Charge,Deluxe Room,1,218.85,218.85,10/13/2021
355,86,Wellness,Gym Access,2,14.95,29.91,10/14/2021
356,86,Transportation,Airport Transfer,1,26.48,26.48,10/16/2021
357,86,Wellness,Spa Treatment,1,115.34,115.34,10/17/2021
358,86,Wellness,Massage Therapy,1,98.2,98.2,10/18/2021
359,86,Business,Business Center,1,14.29,14.29,10/20/2021
360,87,Room Charge,Suite,2,442.43,884.86,5/24/2025
361,87,F&B,Bar Service,4,13.41,53.64,5/26/2025
362,87,F&B,Restaurant - Lunch,3,32.99,98.96,5/26/2025
363,87,F&B,Bar Service,3,20.49,61.47,5/27/2025
364,87,Business,Business Center,1,16.79,16.79,5/28/2025
365,88,Room Charge,Suite,5,522.17,2610.85,7/15/2023
366,88,F&B,Restaurant - Lunch,2,31.97,63.94,7/17/2023
367,88,F&B,Restaurant - Breakfast,4,28.95,115.79,7/19/2023
368,88,Business,Business Center,1,16.93,16.93,7/21/2023
369,88,Transportation,Airport Transfer,1,33.84,33.84,7/23/2023
370,88,Wellness,Gym Access,2,10.88,21.75,7/25/2023
371,89,Room Charge,Suite,5,328.28,1641.4,4/5/2024
372,89,Technology,WiFi Access,1,5.06,5.06,4/6/2024
373,90,Room Charge,Suite,2,574.39,1148.78,11/8/2025
374,90,F&B,Restaurant - Breakfast,4,30.18,120.74,11/10/2025
375,90,Transportation,Airport Transfer,1,32.35,32.35,11/11/2025
376,90,Guest Service,Laundry Service,2,16.12,32.24,11/13/2025
377,91,Room Charge,Suite,7,475.67,3329.68,7/15/2023
378,91,Wellness,Spa Treatment,2,95.34,190.68,7/16/2023
379,91,Wellness,Gym Access,2,12.31,24.62,7/16/2023
380,91,Business,Business Center,1,17.45,17.45,7/16/2023
381,92,Room Charge,Deluxe Room,1,280.93,280.93,11/4/2020
382,92,F&B,Restaurant - Dinner,3,45.53,136.59,11/5/2020
383,92,Technology,WiFi Access,1,4.92,4.92,11/7/2020
384,93,Room Charge,Suite,2,379.76,759.51,8/15/2023
385,93,F&B,Restaurant - Dinner,4,59.12,236.47,8/17/2023
386,93,Wellness,Gym Access,1,9.93,9.93,8/17/2023
387,93,Wellness,Gym Access,2,14.51,29.03,8/17/2023
388,94,Room Charge,Standard Room,3,198.56,595.69,6/1/2021
389,94,Wellness,Spa Treatment,2,76.08,152.16,6/2/2021
390,94,F&B,Restaurant - Breakfast,3,32.22,96.67,6/2/2021
391,94,Transportation,Airport Transfer,1,34.76,34.76,6/2/2021
392,94,F&B,Room Service,4,41.35,165.39,6/4/2021
393,94,Guest Service,Laundry Service,1,23.21,23.21,6/5/2021
394,94,Guest Service,Laundry Service,2,20.04,40.08,6/6/2021
395,95,Room Charge,Standard Room,6,376.1,2256.59,9/16/2020
396,95,Wellness,Spa Treatment,2,66.69,133.39,9/18/2020
397,95,Wellness,Spa Treatment,2,118.76,237.51,9/18/2020
398,96,Room Charge,Standard Room,3,255.06,765.17,6/19/2021
399,96,Transportation,Airport Transfer,1,25.25,25.25,6/20/2021
400,97,Room Charge,Suite,3,385.96,1157.88,3/13/2022
401,97,Transportation,Airport Transfer,1,30.88,30.88,3/15/2022
402,98,Room Charge,Standard Room,6,354.6,2127.63,12/9/2024
403,98,F&B,Room Service,2,55,110,12/9/2024
404,98,F&B,Restaurant - Dinner,4,78.4,313.61,12/10/2024
405,98,Transportation,Airport Transfer,1,27.56,27.56,12/10/2024
406,98,Wellness,Massage Therapy,1,75.26,75.26,12/11/2024
407,98,Technology,WiFi Access,1,5.65,5.65,12/12/2024
408,99,Room Charge,Deluxe Room,3,165.37,496.1,4/6/2025
409,99,Wellness,Massage Therapy,2,74.87,149.73,4/6/2025
410,99,Wellness,Gym Access,2,11.62,23.25,4/6/2025
411,99,F&B,Restaurant - Breakfast,1,25.06,25.06,4/8/2025
412,99,Wellness,Massage Therapy,1,71.32,71.32,4/9/2025
413,99,Business,Business Center,1,12.42,12.42,4/9/2025
414,100,Room Charge,Suite,2,436.52,873.04,2/9/2023
415,100,Transportation,Airport Transfer,1,27.99,27.99,2/9/2023
416,100,F&B,Room Service,2,52.81,105.61,2/11/2023
417,100,Wellness,Massage Therapy,1,57.85,57.85,2/12/2023
