GuestID,ServiceID,Rating,Comments,FeedbackDate
761,7,3,Fair experience,2025-11-11
340,14,3,Okay service,2021-04-04
262,6,4,Good value,2024-07-30
766,11,5,Amazing staff!,2023-04-06
83,4,4,Nice experience,2024-02-05
335,12,3,Average stay,2025-10-08
2363,2,3,Average stay,2022-03-13
1479,15,4,Great hotel!,2024-12-28
428,15,4,Nice experience,2020-01-05
1531,1,4,Nice experience,2020-10-20
764,12,4,Good value,2021-01-22
302,9,1,Very poor,2020-03-07
586,3,2,Below expectations,2022-06-24
1835,9,3,Fair experience,2021-09-19
1035,3,3,Average stay,2022-02-23
1601,3,4,Very good service,2025-08-06
286,7,3,Fair experience,2023-07-21
1440,10,5,Amazing staff!,2025-03-12
609,8,2,Not satisfied,2025-09-26
2155,2,3,Okay service,2025-10-11
2179,2,4,Great hotel!,2022-08-16
1722,1,3,Okay service,2020-05-17
648,13,4,Great hotel!,2025-07-10
816,12,3,Okay service,2024-05-15
2775,6,1,Extremely disappointed,2022-11-14
1205,6,3,Decent hotel,2025-09-24
2113,10,4,Very good service,2023-06-15
2967,10,3,Decent hotel,2024-06-05
2077,12,5,Perfect stay!,2024-02-14
1554,7,2,Not satisfied,2022-08-20
1111,8,2,Below expectations,2020-11-09
626,6,4,Nice experience,2025-04-11
586,12,5,Outstanding experience!,2024-10-21
1575,6,4,Very good service,2022-05-16
2925,4,4,Nice experience,2022-03-16
2446,5,2,Disappointing,2022-04-11
630,5,2,Not satisfied,2024-03-17
1602,6,4,Friendly staff,2021-06-02
2681,3,5,Outstanding experience!,2022-12-05
2205,4,5,Outstanding experience!,2025-11-10
2480,10,1,Would not recommend,2025-11-17
2903,2,5,Highly recommend!,2025-07-31
156,13,5,Excellent service!,2022-08-07
2863,12,4,Good value,2025-09-07
2096,11,5,Amazing staff!,2022-10-09
1858,3,2,Disappointing,2022-04-07
2868,9,3,Fair experience,2024-03-18
1206,10,5,Outstanding experience!,2020-01-07
601,7,3,Okay service,2020-07-24
2580,4,3,Could be better,2025-05-17
454,3,5,Excellent service!,2024-08-03
320,7,4,Good value,2020-12-03
651,9,4,Very good service,2025-10-31
1987,13,4,Great hotel!,2021-08-28
2180,11,5,Perfect stay!,2020-07-03
1286,15,5,Amazing staff!,2022-04-24
152,2,3,Average stay,2020-07-01
2470,14,5,Perfect stay!,2023-09-30
1042,8,4,Friendly staff,2025-07-20
2881,6,5,Outstanding experience!,2022-05-28
97,15,4,Good value,2020-10-29
820,2,2,Poor service,2023-05-15
1190,12,4,Friendly staff,2023-10-06
390,8,5,Highly recommend!,2024-02-04
1799,1,3,Okay service,2025-10-30
583,12,4,Great hotel!,2023-09-09
1980,9,1,Extremely disappointed,2023-04-21
1944,6,3,Okay service,2023-08-05
805,8,4,Great hotel!,2021-06-20
2713,6,5,Outstanding experience!,2020-01-30
2396,1,5,Excellent service!,2023-10-27
2241,4,2,Not satisfied,2021-06-04
1030,1,2,Below expectations,2025-10-22
1310,3,5,Excellent service!,2022-02-06
2087,9,5,Excellent service!,2021-03-13
1661,8,2,Below expectations,2021-06-19
1064,9,3,Could be better,2020-12-24
2932,3,5,Highly recommend!,2020-08-30
441,6,4,Great hotel!,2020-10-15
1524,4,3,Fair experience,2020-12-20
329,5,5,Outstanding experience!,2023-12-13
181,2,2,Disappointing,2022-04-28
2617,12,5,Highly recommend!,2025-07-31
465,10,4,Very good service,2020-10-12
1525,6,3,Fair experience,2020-12-05
16,13,3,Fair experience,2022-10-29
2205,5,2,Poor service,2024-05-18
2101,11,5,Amazing staff!,2025-09-19
2633,5,5,Excellent service!,2022-10-03
668,10,4,Great hotel!,2025-09-02
812,4,3,Fair experience,2023-11-22
618,5,1,Awful service,2020-04-01
1489,3,4,Friendly staff,2022-11-10
2507,4,4,Nice experience,2025-08-12
39,4,5,Excellent service!,2024-01-16
706,1,4,Nice experience,2020-11-03
1579,8,4,Very good service,2025-07-25
1922,2,5,Outstanding experience!,2025-11-08
458,8,4,Friendly staff,2020-10-15
783,12,5,Amazing staff!,2023-01-05
367,3,5,Amazing staff!,2024-07-04
1670,1,3,Okay service,2021-04-13
104,13,4,Good value,2021-06-26
2769,15,4,Friendly staff,2023-03-05
1761,14,5,Highly recommend!,2021-12-20
2952,5,5,Excellent service!,2024-10-14
2749,7,5,Highly recommend!,2024-03-22
524,8,2,Below expectations,2024-09-05
1060,3,3,Decent hotel,2023-05-19
1817,12,4,Very good service,2025-08-26
1724,6,5,Outstanding experience!,2023-10-12
1687,8,5,Perfect stay!,2024-03-31
2513,12,5,Excellent service!,2022-02-14
2435,7,5,Perfect stay!,2024-10-24
1833,15,5,Excellent service!,2025-10-16
1619,7,5,Amazing staff!,2023-03-23
2467,7,2,Not satisfied,2021-02-27
1524,8,1,Would not recommend,2022-11-04
2806,9,4,Great hotel!,2021-05-27
430,10,3,Okay service,2024-01-06
730,6,3,Could be better,2022-05-26
1777,3,3,Could be better,2022-12-30
2361,5,4,Good value,2025-02-06
639,6,2,Below expectations,2021-03-21
1654,5,3,Fair experience,2023-03-26
1694,4,5,Highly recommend!,2023-01-29
1349,1,4,Great hotel!,2021-10-26
2155,15,4,Nice experience,2020-04-19
2926,7,3,Average stay,2023-08-10
1072,10,5,Excellent service!,2025-12-20
1639,14,3,Average stay,2023-09-17
1513,5,1,Awful service,2025-09-19
2173,7,2,Not satisfied,2024-04-29
1859,7,4,Nice experience,2021-12-12
2403,14,3,Could be better,2025-06-24
1288,5,2,Not satisfied,2023-07-02
2200,4,4,Very good service,2025-06-13
1733,8,3,Could be better,2024-12-19
1767,6,4,Good value,2025-08-25
1287,14,5,Highly recommend!,2021-01-09
2078,14,5,Highly recommend!,2025-01-08
1047,7,4,Good value,2024-08-30
2052,6,4,Great hotel!,2025-03-01
2979,6,4,Friendly staff,2020-06-02
1901,3,4,Great hotel!,2024-09-16
1637,6,3,Okay service,2020-10-21
2773,14,5,Amazing staff!,2023-10-18
1596,4,3,Decent hotel,2020-12-21
2260,5,5,Amazing staff!,2023-07-27
346,8,2,Needs improvement,2025-11-17
2556,11,4,Great hotel!,2025-01-02
773,10,4,Nice experience,2024-01-20
2963,14,1,Extremely disappointed,2021-05-24
1387,7,3,Okay service,2020-02-25
157,6,5,Amazing staff!,2024-12-09
1291,2,5,Outstanding experience!,2025-07-21
2343,8,2,Below expectations,2023-06-22
412,11,5,Highly recommend!,2023-05-24
69,9,3,Decent hotel,2020-03-20
2659,12,2,Poor service,2024-03-02
1655,1,5,Outstanding experience!,2024-09-21
2269,8,4,Nice experience,2024-09-24
1242,11,4,Nice experience,2023-05-16
1291,10,5,Excellent service!,2022-04-12
591,6,2,Needs improvement,2024-03-08
1367,4,3,Decent hotel,2023-04-11
1226,10,5,Excellent service!,2020-09-20
2080,6,1,Would not recommend,2024-06-13
899,1,4,Very good service,2024-12-13
893,14,4,Good value,2021-10-23
1057,9,4,Good value,2022-01-04
42,13,4,Good value,2022-02-21
2308,9,5,Excellent service!,2024-08-31
1037,1,3,Could be better,2023-07-14
1859,2,5,Perfect stay!,2022-09-19
2086,13,4,Very good service,2025-05-12
1855,1,5,Perfect stay!,2020-04-28
340,4,4,Very good service,2021-06-03
908,12,4,Nice experience,2022-10-24
1323,7,3,Fair experience,2023-12-15
1224,12,4,Nice experience,2022-12-21
1209,6,5,Highly recommend!,2021-07-28
1728,1,1,Very poor,2021-02-21
2732,14,3,Okay service,2025-11-16
1032,7,4,Friendly staff,2023-12-17
2372,8,5,Perfect stay!,2023-04-11
1460,15,5,Perfect stay!,2024-09-08
2671,11,4,Very good service,2021-06-23
2842,11,4,Nice experience,2025-07-14
371,2,4,Good value,2022-09-06
30,12,3,Okay service,2022-01-27
520,2,4,Nice experience,2020-02-24
2994,3,5,Amazing staff!,2021-05-15
606,8,5,Perfect stay!,2024-04-02
744,11,5,Perfect stay!,2025-04-11
2170,7,5,Perfect stay!,2022-08-06
984,14,5,Excellent service!,2022-03-22
745,6,4,Good value,2024-12-05
2729,2,3,Could be better,2020-01-13
1904,5,4,Good value,2023-03-25
1899,6,5,Outstanding experience!,2021-11-28
2636,1,5,Perfect stay!,2024-11-30
682,6,4,Very good service,2020-12-29
2435,5,4,Great hotel!,2022-01-25
1519,3,5,Amazing staff!,2023-01-20
855,12,4,Friendly staff,2023-09-05
841,3,4,Good value,2023-04-25
216,15,2,Below expectations,2023-11-16
30,5,5,Amazing staff!,2020-01-31
428,3,5,Amazing staff!,2022-05-01
1358,2,5,Highly recommend!,2025-09-21
635,11,3,Okay service,2025-11-18
287,8,5,Highly recommend!,2022-01-07
207,3,3,Okay service,2024-01-01
2406,5,4,Good value,2022-12-28
1635,4,1,Would not recommend,2023-06-30
847,12,3,Fair experience,2025-05-06
1938,14,5,Excellent service!,2025-03-06
910,12,5,Outstanding experience!,2025-10-01
407,11,5,Highly recommend!,2023-01-15
2864,15,5,Outstanding experience!,2023-06-02
2979,8,5,Outstanding experience!,2020-08-01
1833,14,5,Perfect stay!,2020-09-29
654,12,3,Decent hotel,2020-12-12
2585,4,4,Good value,2020-10-17
913,9,4,Great hotel!,2021-02-04
2444,11,2,Not satisfied,2021-05-25
488,7,4,Friendly staff,2021-07-15
1977,15,5,Outstanding experience!,2024-04-11
6,2,5,Perfect stay!,2025-07-26
379,8,4,Great hotel!,2022-08-14
1398,5,4,Friendly staff,2024-01-21
972,2,2,Poor service,2025-01-29
231,3,5,Highly recommend!,2021-09-03
1821,5,4,Great hotel!,2021-08-07
2691,13,4,Nice experience,2024-06-21
2070,10,1,Awful service,2022-07-03
19,5,3,Could be better,2023-12-09
2192,7,4,Nice experience,2023-12-22
1515,15,4,Nice experience,2022-07-30
593,13,3,Okay service,2025-12-30
2155,9,5,Perfect stay!,2022-01-18
2609,8,3,Okay service,2024-12-06
1086,6,5,Outstanding experience!,2021-02-13
1676,2,4,Friendly staff,2020-12-15
2657,11,2,Poor service,2021-03-23
1001,9,5,Outstanding experience!,2024-07-03
2600,8,5,Outstanding experience!,2025-01-14
1540,10,5,Highly recommend!,2023-12-06
1754,8,5,Highly recommend!,2022-09-15
916,9,5,Amazing staff!,2020-10-29
559,13,4,Friendly staff,2021-05-29
1930,8,5,Highly recommend!,2024-09-15
2717,3,5,Amazing staff!,2020-06-08
2278,7,4,Nice experience,2022-08-22
822,6,3,Okay service,2021-11-21
2541,8,5,Highly recommend!,2024-05-25
1297,10,4,Very good service,2025-07-31
1786,3,4,Good value,2020-03-02
2898,13,4,Friendly staff,2022-08-06
1023,13,2,Needs improvement,2021-12-19
2735,15,2,Disappointing,2021-04-05
242,14,4,Friendly staff,2020-09-05
2873,5,5,Perfect stay!,2023-02-07
830,6,4,Nice experience,2023-11-10
526,7,3,Average stay,2022-09-25
505,5,5,Highly recommend!,2024-02-22
126,8,4,Very good service,2021-02-08
763,9,3,Could be better,2022-01-17
69,15,3,Decent hotel,2021-02-28
1748,8,2,Not satisfied,2020-10-23
2104,14,5,Amazing staff!,2024-06-24
2823,13,5,Perfect stay!,2021-03-02
2096,9,4,Friendly staff,2025-11-04
850,12,4,Very good service,2020-03-15
1087,11,2,Disappointing,2020-05-09
1921,3,4,Nice experience,2024-12-04
1495,11,4,Good value,2024-05-19
2018,2,4,Friendly staff,2023-09-29
1417,10,4,Nice experience,2025-09-15
746,6,4,Good value,2023-08-28
1105,4,3,Could be better,2020-12-14
208,12,5,Highly recommend!,2022-01-16
2976,8,5,Outstanding experience!,2022-10-22
2961,8,2,Not satisfied,2024-06-07
2233,4,3,Okay service,2020-10-01
2581,11,3,Decent hotel,2025-11-29
393,14,4,Friendly staff,2025-05-25
2593,3,4,Nice experience,2023-11-12
73,1,5,Excellent service!,2022-01-17
1994,5,3,Fair experience,2020-06-11
500,9,4,Good value,2022-03-30
141,4,5,Perfect stay!,2023-11-17
2301,13,5,Amazing staff!,2024-09-14
272,12,5,Perfect stay!,2025-04-19
1988,7,3,Okay service,2021-01-02
2030,9,3,Okay service,2025-07-02
532,10,2,Not satisfied,2021-12-26
2775,2,3,Could be better,2022-07-15
1070,11,4,Friendly staff,2023-02-22
407,12,3,Okay service,2025-11-22
2853,9,4,Nice experience,2025-09-16
2645,12,3,Decent hotel,2022-04-07
2884,15,4,Very good service,2021-06-21
2958,2,5,Perfect stay!,2020-09-07
332,8,5,Highly recommend!,2025-01-06
1816,4,5,Outstanding experience!,2025-12-05
865,7,5,Perfect stay!,2022-12-17
321,15,4,Very good service,2024-06-30
1541,4,3,Okay service,2021-12-10
1303,14,4,Friendly staff,2025-10-04
825,6,3,Average stay,2023-12-22
2534,11,5,Amazing staff!,2025-07-25
1409,3,4,Very good service,2021-09-24
1239,15,5,Perfect stay!,2023-12-07
1421,13,2,Not satisfied,2024-01-13
2055,5,3,Could be better,2021-01-27
1427,15,1,Awful service,2021-12-15
632,2,1,Extremely disappointed,2022-02-23
589,5,1,Would not recommend,2023-07-30
1691,15,5,Amazing staff!,2022-02-25
1425,3,5,Excellent service!,2025-07-02
454,8,4,Good value,2025-01-10
2189,8,2,Poor service,2020-04-08
538,2,1,Extremely disappointed,2023-08-16
1668,13,4,Very good service,2024-10-04
1098,14,2,Not satisfied,2021-01-11
1571,15,4,Great hotel!,2023-08-23
1116,2,5,Highly recommend!,2023-01-13
1768,10,4,Good value,2020-07-08
710,6,3,Okay service,2021-12-15
1924,9,5,Excellent service!,2021-07-08
2413,11,5,Outstanding experience!,2021-08-20
636,2,5,Perfect stay!,2023-05-17
634,5,5,Outstanding experience!,2020-05-26
2512,5,5,Excellent service!,2025-12-20
928,4,3,Could be better,2021-11-07
2002,11,3,Okay service,2025-06-06
977,3,2,Poor service,2024-06-25
2596,15,4,Friendly staff,2022-04-16
350,3,5,Outstanding experience!,2021-12-07
1087,14,5,Amazing staff!,2025-12-28
304,12,4,Friendly staff,2020-10-06
2646,12,3,Decent hotel,2022-08-08
1055,2,1,Would not recommend,2020-04-11
1357,11,1,Would not recommend,2025-08-17
37,14,4,Great hotel!,2020-04-07
1476,8,2,Needs improvement,2021-03-01
2546,13,4,Friendly staff,2023-02-23
1281,11,5,Highly recommend!,2020-01-20
1420,15,4,Very good service,2022-05-27
194,14,4,Friendly staff,2024-01-29
287,11,2,Not satisfied,2025-02-05
815,9,5,Highly recommend!,2020-03-30
2543,4,2,Below expectations,2024-02-08
910,9,5,Excellent service!,2022-11-23
2964,13,4,Nice experience,2024-11-05
677,4,5,Perfect stay!,2023-08-25
2235,11,4,Very good service,2024-07-29
705,8,4,Great hotel!,2022-08-23
355,7,5,Perfect stay!,2022-10-12
2049,2,2,Needs improvement,2021-04-07
160,14,4,Nice experience,2025-03-08
1551,14,4,Great hotel!,2025-11-11
839,8,4,Nice experience,2020-10-17
1015,10,5,Outstanding experience!,2020-12-27
662,3,3,Decent hotel,2025-12-04
981,11,1,Awful service,2022-03-22
2401,15,4,Nice experience,2024-06-02
450,7,4,Very good service,2024-05-11
1283,4,1,Terrible experience,2025-06-28
162,11,3,Average stay,2024-05-03
922,5,5,Perfect stay!,2023-12-17
1409,8,3,Okay service,2024-11-10
2736,5,5,Highly recommend!,2023-04-10
2557,8,4,Good value,2022-07-11
1254,5,3,Decent hotel,2021-01-26
867,9,3,Average stay,2024-08-19
2763,2,3,Okay service,2022-01-22
2136,9,4,Nice experience,2022-11-21
313,6,5,Excellent service!,2022-09-27
238,11,2,Disappointing,2021-06-04
2919,8,4,Very good service,2025-01-26
1185,5,5,Excellent service!,2024-10-02
751,15,5,Excellent service!,2025-05-11
2456,6,4,Good value,2024-02-22
1918,10,5,Excellent service!,2024-08-12
1512,11,2,Disappointing,2023-05-06
159,11,5,Outstanding experience!,2021-05-07
2408,11,4,Nice experience,2020-06-24
2984,15,4,Good value,2023-03-13
463,2,4,Nice experience,2023-06-17
2428,13,2,Disappointing,2025-12-05
2237,13,4,Good value,2023-05-19
2363,13,5,Amazing staff!,2025-02-18
1046,7,5,Perfect stay!,2021-04-10
301,2,5,Perfect stay!,2022-07-10
150,4,3,Fair experience,2023-12-03
1304,7,1,Would not recommend,2024-02-01
1822,8,3,Fair experience,2022-02-18
690,6,3,Could be better,2020-02-20
559,5,4,Very good service,2024-02-21
2195,10,5,Highly recommend!,2021-10-27
2223,3,5,Amazing staff!,2022-05-29
804,2,4,Nice experience,2021-10-08
2342,2,3,Could be better,2024-12-06
945,1,5,Highly recommend!,2020-09-13
160,15,5,Outstanding experience!,2022-10-09
1300,5,5,Highly recommend!,2021-04-10
2873,10,4,Nice experience,2021-04-14
1720,6,3,Fair experience,2025-04-30
76,12,2,Poor service,2023-01-17
1496,12,5,Amazing staff!,2021-10-02
1614,15,3,Decent hotel,2022-06-17
1968,12,5,Amazing staff!,2025-11-27
444,14,5,Highly recommend!,2020-01-04
2286,15,3,Okay service,2024-01-15
2151,13,4,Great hotel!,2024-07-15
2126,5,5,Excellent service!,2025-10-18
1715,12,4,Nice experience,2025-01-21
2602,6,5,Outstanding experience!,2020-07-05
1128,7,4,Good value,2022-03-08
1219,2,3,Okay service,2024-02-14
369,2,1,Very poor,2022-04-30
2451,14,3,Decent hotel,2021-01-22
1887,10,4,Friendly staff,2024-02-16
611,3,5,Perfect stay!,2024-05-17
97,8,4,Very good service,2023-01-10
2872,14,3,Average stay,2023-12-23
2338,1,4,Nice experience,2025-08-02
135,13,4,Great hotel!,2023-05-21
926,6,4,Very good service,2021-08-29
1369,3,4,Nice experience,2024-01-26
145,4,5,Amazing staff!,2021-03-06
2311,15,4,Friendly staff,2021-12-18
965,6,4,Friendly staff,2021-07-07
709,6,1,Would not recommend,2020-07-14
2293,2,3,Decent hotel,2021-03-12
463,13,4,Great hotel!,2020-08-26
2202,15,5,Amazing staff!,2021-04-05
1914,15,3,Decent hotel,2025-10-13
673,6,3,Okay service,2024-09-23
1116,6,5,Highly recommend!,2024-12-18
1675,7,3,Fair experience,2022-06-25
2920,2,5,Amazing staff!,2021-10-16
1105,9,4,Nice experience,2025-03-20
2345,2,2,Below expectations,2025-01-15
1095,12,5,Highly recommend!,2021-01-25
1572,6,4,Great hotel!,2025-07-08
1317,2,3,Fair experience,2020-02-26
2447,10,4,Friendly staff,2024-07-15
2273,7,3,Okay service,2023-07-18
390,3,2,Not satisfied,2023-06-06
935,6,2,Poor service,2024-09-13
2724,14,5,Excellent service!,2020-02-25
491,15,5,Excellent service!,2024-08-21
2479,4,4,Nice experience,2023-01-29
2868,15,4,Good value,2024-10-15
781,2,4,Great hotel!,2025-09-30
2574,5,2,Needs improvement,2020-06-22
257,4,4,Good value,2022-12-25
2862,1,3,Decent hotel,2021-11-23
1903,5,2,Needs improvement,2024-05-03
503,14,2,Needs improvement,2024-11-15
2466,10,5,Outstanding experience!,2023-09-18
1426,7,5,Perfect stay!,2020-04-20
959,12,4,Great hotel!,2024-03-22
796,3,3,Fair experience,2022-02-26
2584,2,4,Nice experience,2022-05-15
2907,9,2,Needs improvement,2024-01-08
2853,8,4,Nice experience,2023-12-20
1340,7,3,Okay service,2024-01-12
2594,14,5,Excellent service!,2022-06-16
2829,3,2,Poor service,2021-05-19
2500,3,4,Nice experience,2024-09-01
2236,15,5,Highly recommend!,2023-10-08
1033,8,4,Great hotel!,2022-12-12
1769,8,5,Perfect stay!,2021-03-23
75,9,5,Outstanding experience!,2023-02-27
2274,6,5,Perfect stay!,2020-06-09
1679,5,4,Great hotel!,2021-11-23
874,4,5,Perfect stay!,2024-06-03
359,8,3,Fair experience,2023-07-30
892,5,1,Very poor,2020-04-30
2918,8,4,Good value,2023-04-11
2063,11,5,Highly recommend!,2022-01-17
2186,13,3,Fair experience,2025-09-05
1397,2,4,Good value,2022-04-18
2010,8,5,Excellent service!,2025-04-02
1500,14,4,Great hotel!,2022-02-24
2544,2,2,Poor service,2024-05-29
1714,15,4,Great hotel!,2024-02-21
2898,10,4,Friendly staff,2025-10-26
449,1,2,Needs improvement,2021-01-09
1702,5,2,Not satisfied,2025-10-17
1967,11,3,Decent hotel,2021-01-21
941,4,4,Great hotel!,2020-10-26
1666,8,4,Good value,2025-10-13
758,15,4,Nice experience,2022-11-02
2728,13,4,Good value,2020-04-16
2857,9,3,Average stay,2022-05-27
933,7,5,Perfect stay!,2025-07-16
596,6,1,Extremely disappointed,2021-04-13
2995,3,4,Friendly staff,2022-09-10
2744,7,3,Could be better,2025-04-12
1869,14,1,Very poor,2024-02-24
2171,5,3,Okay service,2020-09-23
700,13,5,Highly recommend!,2021-07-19
691,4,5,Excellent service!,2024-03-30
1206,5,3,Fair experience,2020-05-28
2993,6,2,Disappointing,2024-10-31
2587,7,2,Poor service,2021-09-03
839,11,4,Very good service,2022-03-06
1905,5,4,Great hotel!,2025-02-25
1178,14,3,Okay service,2025-10-24
1379,12,5,Perfect stay!,2023-07-11
2843,1,2,Not satisfied,2022-07-08
1852,15,4,Good value,2025-09-16
1542,13,5,Highly recommend!,2022-05-13
2879,6,4,Friendly staff,2021-02-10
2574,3,5,Highly recommend!,2020-01-25
1644,14,4,Friendly staff,2022-06-18
2343,1,3,Average stay,2024-09-11
2879,4,4,Very good service,2025-03-17
997,15,4,Very good service,2024-11-02
589,1,3,Okay service,2024-05-25
2966,4,4,Nice experience,2020-02-07
2117,3,5,Amazing staff!,2024-12-18
