ExpenseID,HotelID,ExpenseCategoryID,ExpenseDate,Description,Amount,VendorName,PaymentMethod,Status
62,1,9,2/27/2020,Certification courses,2412.79,Marketing Solutions Ltd.,Bank Transfer,Paid
63,1,10,2/9/2020,Office supplies,2833.74,Kitchen Equipment Co.,Check,Paid
64,1,10,2/9/2020,Bank charges,6771.4,Software Corp.,Cash,Paid
65,1,10,2/28/2020,Legal fees,1359.39,Digital Media Group,Check,Paid
66,1,10,2/10/2020,Bank charges,4157.77,Training Institute,Credit Card,Paid
67,1,1,3/26/2020,Overtime payments,135375.24,Delta Gas Company,Credit Card,Paid
68,1,1,3/13/2020,Bonus payments,56335.36,Sanitech Co.,Cash,Paid
69,1,1,3/15/2020,Overtime payments,106655.1,Print House Co.,Bank Transfer,Paid
70,1,1,3/14/2020,Overtime payments,120541.07,Liability Solutions,Check,Paid
71,1,2,3/3/2020,Electricity bill,10185.67,Damietta Electric Co.,Bank Transfer,Paid
72,1,2,3/13/2020,Electricity bill,11153.34,Legal Associates,Credit Card,Pending
73,1,2,3/1/2020,Electricity bill,11341.78,Municipal Water Authority,Bank Transfer,Paid
74,1,3,3/25/2020,Social media marketing,3625.92,Legal Associates,Bank Transfer,Paid
75,1,3,3/21/2020,Social media marketing,9862.91,Kitchen Equipment Co.,Credit Card,Paid
76,1,3,3/9/2020,Social media marketing,11338.61,Accounting Firm,Credit Card,Paid
77,1,4,3/1/2020,Equipment repair,8520.73,Professional Development,Cash,Overdue
78,1,4,3/13/2020,Building maintenance,4636.97,Training Institute,Credit Card,Pending
79,1,5,3/8/2020,Kitchen equipment,29814.39,Sanitech Co.,Check,Paid
80,1,5,3/7/2020,Beverage purchases,15301.31,Certification Center,Check,Paid
81,1,5,3/6/2020,Beverage purchases,26525.71,Cleaning Solutions,Check,Paid
82,1,5,3/14/2020,Beverage purchases,18787.44,Print House Co.,Credit Card,Paid
83,1,6,3/28/2020,Laundry supplies,4253.55,Laundry Services,Check,Paid
84,1,6,3/26/2020,Laundry supplies,2281.9,Kitchen Equipment Co.,Credit Card,Paid
85,1,7,3/27/2020,Property insurance,7611.91,Insurance Group Egypt,Cash,Pending
86,1,7,3/18/2020,Property insurance,7252.31,Legal Associates,Cash,Paid
87,1,7,3/22/2020,Property insurance,8899.57,Training Institute,Bank Transfer,Paid
88,1,8,3/14/2020,System upgrades,4124,Delta Gas Company,Credit Card,Paid
89,1,8,3/13/2020,Hardware purchases,2920.43,IT Support Services,Bank Transfer,Paid
90,1,8,3/6/2020,Hardware purchases,6213.14,HVAC Systems Ltd.,Cash,Paid
91,1,9,3/2/2020,Staff training programs,2188.91,Bank of Egypt,Credit Card,Paid
92,1,9,3/15/2020,Staff training programs,2325.33,Education Plus,Cash,Paid
93,1,9,3/6/2020,Certification courses,1070.97,Building Services Co.,Credit Card,Paid
94,1,9,3/4/2020,External trainers,2518.11,Damietta Electric Co.,Check,Paid
95,1,10,3/17/2020,Bank charges,1699.81,Bank of Egypt,Check,Pending
96,1,10,3/24/2020,Legal fees,7873.77,Restaurant Supply,Bank Transfer,Paid
97,1,10,3/16/2020,Office supplies,7625.91,Housekeeping Supplies Ltd.,Check,Paid
98,1,1,4/7/2020,Overtime payments,89418.07,Elevator Tech,Credit Card,Overdue
99,1,1,4/13/2020,Management salaries,108708.34,Liability Solutions,Check,Paid
100,1,1,4/4/2020,Management salaries,139627.72,IT Support Services,Credit Card,Paid
101,1,2,4/26/2020,Gas bill,21845.07,Delta Gas Company,Check,Pending
102,1,2,4/6/2020,Water bill,16062.81,Digital Media Group,Check,Paid
103,1,3,4/7/2020,Online advertising,12801.05,System Integrators,Bank Transfer,Paid
104,1,3,4/1/2020,Print advertising,3482.96,Maintenance Plus,Bank Transfer,Pending
105,1,3,4/9/2020,Print advertising,3607.64,Beverage Suppliers,Credit Card,Paid
106,1,3,4/10/2020,Online advertising,13562.86,Municipal Water Authority,Credit Card,Pending
107,1,4,4/18/2020,Building maintenance,2737.01,Accounting Firm,Check,Pending
108,1,4,4/3/2020,Equipment repair,3352.26,System Integrators,Credit Card,Pending
109,1,4,4/11/2020,Elevator service,2171.73,Insurance Group Egypt,Bank Transfer,Paid
110,1,5,4/2/2020,Beverage purchases,25540.24,Software Corp.,Credit Card,Pending
111,1,5,4/7/2020,Restaurant supplies,25629.31,HVAC Systems Ltd.,Credit Card,Paid
112,1,6,4/21/2020,Cleaning chemicals,2682.73,Certification Center,Check,Paid
113,1,6,4/18/2020,Laundry supplies,3014.33,Professional Development,Check,Paid
114,1,7,4/22/2020,Equipment insurance,3670.69,Legal Associates,Credit Card,Paid
115,1,7,4/10/2020,Property insurance,10409.43,Building Services Co.,Check,Pending
116,1,7,4/4/2020,Equipment insurance,6994.98,Kitchen Equipment Co.,Cash,Paid
117,1,7,4/3/2020,Employee insurance,3097.36,Beverage Suppliers,Bank Transfer,Pending
118,1,8,4/25/2020,Hardware purchases,5419.58,Laundry Services,Credit Card,Paid
119,1,8,4/20/2020,Hardware purchases,2404.46,Food Distributors Egypt,Cash,Paid
120,1,9,4/7/2020,Certification courses,2175.42,Tech Solutions,Credit Card,Paid
121,1,9,4/17/2020,Staff training programs,1608.18,Marketing Solutions Ltd.,Check,Paid
122,1,10,4/5/2020,Legal fees,5291.72,Certification Center,Credit Card,Paid
123,1,10,4/13/2020,Office supplies,2225.93,Education Plus,Check,Paid
124,1,1,5/20/2020,Overtime payments,131360.46,Sanitech Co.,Cash,Paid
125,1,1,5/11/2020,Bonus payments,130500.52,Cleaning Solutions,Credit Card,Paid
126,1,2,5/13/2020,Electricity bill,5680.93,Food Distributors Egypt,Credit Card,Overdue
127,1,2,5/4/2020,Electricity bill,20874.74,Education Plus,Credit Card,Paid
128,1,2,5/26/2020,Water bill,24047.52,Maintenance Plus,Credit Card,Paid
129,1,3,5/23/2020,Promotional materials,10691.31,Training Institute,Cash,Paid
130,1,3,5/19/2020,Promotional materials,8429.6,Legal Associates,Credit Card,Paid
131,1,3,5/6/2020,Print advertising,4292.25,Legal Associates,Cash,Paid
132,1,3,5/24/2020,Social media marketing,13215.41,Beverage Suppliers,Credit Card,Paid
133,1,4,5/12/2020,Building maintenance,7299.41,Food Distributors Egypt,Check,Paid
134,1,4,5/6/2020,Building maintenance,1070.69,IT Support Services,Cash,Paid
135,1,4,5/22/2020,Equipment repair,3668.82,Property Guard,Cash,Paid
136,1,4,5/10/2020,Building maintenance,7980.33,Office Depot Egypt,Check,Paid
137,1,5,5/7/2020,Beverage purchases,15031.31,Professional Development,Credit Card,Paid
138,1,5,5/3/2020,Food supplies,28469.91,Telecom Egypt,Credit Card,Paid
139,1,5,5/5/2020,Restaurant supplies,28407.03,Tech Solutions,Bank Transfer,Paid
140,1,6,5/26/2020,Cleaning chemicals,1743.55,HVAC Systems Ltd.,Bank Transfer,Paid
141,1,6,5/6/2020,Housekeeping supplies,2040.99,Software Corp.,Bank Transfer,Paid
142,1,7,5/6/2020,Liability insurance,9386.37,Bank of Egypt,Cash,Paid
143,1,7,5/26/2020,Equipment insurance,3854.54,Beverage Suppliers,Credit Card,Paid
144,1,7,5/10/2020,Liability insurance,11894.63,Accounting Firm,Check,Pending
145,1,7,5/9/2020,Equipment insurance,10075.17,Elevator Tech,Check,Paid
146,1,8,5/11/2020,IT support,7119.57,System Integrators,Cash,Paid
147,1,8,5/15/2020,Software licenses,6915.61,Laundry Services,Bank Transfer,Paid
148,1,9,5/27/2020,Certification courses,2475.83,Delta Gas Company,Cash,Paid
149,1,9,5/18/2020,Training materials,2907.05,Sanitech Co.,Credit Card,Paid
150,1,9,5/19/2020,Training materials,1178.67,Delta Gas Company,Credit Card,Paid
151,1,10,5/24/2020,Accounting services,2254.61,Municipal Water Authority,Check,Paid
152,1,10,5/19/2020,Legal fees,5939.84,Education Plus,Check,Pending
153,1,10,5/26/2020,Legal fees,6619.76,Office Depot Egypt,Credit Card,Pending
154,1,10,5/24/2020,Accounting services,5858.02,Print House Co.,Bank Transfer,Paid
155,1,1,6/20/2020,Bonus payments,60703.18,Professional Development,Cash,Paid
156,1,1,6/2/2020,Staff salaries,50878.53,Telecom Egypt,Bank Transfer,Paid
157,1,1,6/12/2020,Management salaries,124429.83,Bank of Egypt,Credit Card,Paid
158,1,1,6/4/2020,Overtime payments,128913.48,Damietta Electric Co.,Cash,Paid
159,1,2,6/3/2020,Water bill,7467.83,Kitchen Equipment Co.,Bank Transfer,Paid
160,1,2,6/28/2020,Water bill,6843.14,Training Institute,Credit Card,Paid
161,1,2,6/12/2020,Gas bill,7837.96,Tech Solutions,Credit Card,Paid
162,1,3,6/6/2020,Print advertising,6374.5,Elevator Tech,Credit Card,Pending
163,1,3,6/21/2020,Promotional materials,12395.8,Kitchen Equipment Co.,Cash,Paid
164,1,4,6/17/2020,HVAC maintenance,7449.64,Education Plus,Credit Card,Paid
165,1,4,6/20/2020,HVAC maintenance,1873.13,IT Support Services,Check,Paid
166,1,4,6/12/2020,Equipment repair,3259.01,Cleaning Solutions,Cash,Paid
167,1,4,6/9/2020,HVAC maintenance,7220.52,Software Corp.,Bank Transfer,Paid
168,1,5,6/22/2020,Beverage purchases,24106.59,Beverage Suppliers,Cash,Paid
169,1,5,6/11/2020,Food supplies,26119.37,Damietta Electric Co.,Check,Paid
170,1,5,6/4/2020,Food supplies,19992.09,Print House Co.,Bank Transfer,Paid
171,1,5,6/9/2020,Food supplies,27765.9,Delta Gas Company,Bank Transfer,Paid
172,1,6,6/2/2020,Cleaning chemicals,4413.75,Food Distributors Egypt,Check,Pending
173,1,6,6/8/2020,Laundry supplies,4313.32,Cleaning Solutions,Cash,Pending
174,1,7,6/17/2020,Employee insurance,11237.83,Maintenance Plus,Credit Card,Paid
175,1,7,6/6/2020,Liability insurance,4804.92,Building Services Co.,Cash,Paid
176,1,7,6/3/2020,Equipment insurance,7958.99,Building Services Co.,Check,Paid
177,1,8,6/5/2020,Software licenses,7950.02,Housekeeping Supplies Ltd.,Bank Transfer,Paid
178,1,8,6/16/2020,IT support,5611.56,Legal Associates,Bank Transfer,Paid
179,1,8,6/19/2020,Software licenses,2742.77,Elevator Tech,Credit Card,Paid
180,1,9,6/16/2020,External trainers,2444.76,Maintenance Plus,Cash,Paid
181,1,9,6/22/2020,External trainers,2101.32,Legal Associates,Check,Paid
182,1,9,6/25/2020,Staff training programs,2764.79,Professional Development,Check,Paid
183,1,10,6/20/2020,Accounting services,4669.79,Housekeeping Supplies Ltd.,Bank Transfer,Paid
184,1,10,6/4/2020,Accounting services,2190.22,Damietta Electric Co.,Cash,Paid
185,1,10,6/2/2020,Accounting services,5709.24,Legal Associates,Bank Transfer,Paid
186,1,10,6/8/2020,Office supplies,5150.79,Delta Gas Company,Check,Paid
187,1,1,7/11/2020,Overtime payments,69828.82,Education Plus,Check,Paid
188,1,1,7/28/2020,Overtime payments,89072.83,Sanitech Co.,Credit Card,Paid
189,1,2,7/1/2020,Water bill,23935.05,Damietta Electric Co.,Cash,Pending
190,1,2,7/20/2020,Water bill,22670.81,Building Services Co.,Cash,Paid
191,1,2,7/10/2020,Water bill,12595.5,Food Distributors Egypt,Bank Transfer,Paid
192,1,3,7/28/2020,Promotional materials,6965.86,Certification Center,Credit Card,Paid
193,1,3,7/26/2020,Promotional materials,7452.64,Office Depot Egypt,Cash,Paid
194,1,3,7/20/2020,Promotional materials,7206.6,Liability Solutions,Cash,Paid
195,1,4,7/8/2020,Equipment repair,1777.14,Professional Development,Check,Paid
196,1,4,7/2/2020,Elevator service,5721.75,Marketing Solutions Ltd.,Check,Paid
197,1,4,7/21/2020,Building maintenance,5231.38,Certification Center,Credit Card,Paid
198,1,4,7/25/2020,HVAC maintenance,2699.72,Education Plus,Check,Pending
199,1,5,7/26/2020,Beverage purchases,19884.57,Telecom Egypt,Check,Paid
200,1,5,7/18/2020,Food supplies,13036.85,Software Corp.,Credit Card,Paid
201,1,5,7/1/2020,Beverage purchases,16413.69,Education Plus,Cash,Pending
202,1,5,7/16/2020,Restaurant supplies,18407.24,Restaurant Supply,Bank Transfer,Paid
203,1,6,7/9/2020,Cleaning chemicals,4758.21,Food Distributors Egypt,Cash,Paid
204,1,6,7/7/2020,Cleaning chemicals,1849.33,Housekeeping Supplies Ltd.,Credit Card,Paid
205,1,6,7/13/2020,Cleaning chemicals,4887.87,Certification Center,Credit Card,Paid
206,1,7,7/1/2020,Liability insurance,3122.81,Marketing Solutions Ltd.,Check,Paid
207,1,7,7/15/2020,Equipment insurance,6039.4,Maintenance Plus,Cash,Paid
208,1,8,7/15/2020,Hardware purchases,5035.62,Accounting Firm,Check,Paid
209,1,8,7/3/2020,IT support,3844.9,HVAC Systems Ltd.,Check,Paid
210,1,9,7/18/2020,External trainers,862.42,Tech Solutions,Credit Card,Paid
211,1,9,7/26/2020,Training materials,1703.82,Legal Associates,Cash,Paid
212,1,9,7/1/2020,Certification courses,2447.39,Liability Solutions,Cash,Overdue
213,1,9,7/7/2020,Training materials,2636.05,IT Support Services,Bank Transfer,Paid
214,1,10,7/16/2020,Legal fees,3443.24,Beverage Suppliers,Check,Paid
215,1,10,7/16/2020,Bank charges,4599.92,Telecom Egypt,Cash,Pending
216,1,10,7/10/2020,Office supplies,6240.96,HVAC Systems Ltd.,Bank Transfer,Paid
217,1,1,8/15/2020,Staff salaries,142858.92,Municipal Water Authority,Check,Paid
218,1,1,8/11/2020,Bonus payments,93000.2,Training Institute,Credit Card,Paid
219,1,2,8/9/2020,Electricity bill,21344.11,Training Institute,Credit Card,Paid
220,1,2,8/16/2020,Telecommunications,10504.5,Marketing Solutions Ltd.,Check,Paid
221,1,2,8/15/2020,Telecommunications,24950.88,System Integrators,Check,Paid
222,1,3,8/10/2020,Print advertising,3475.56,Property Guard,Bank Transfer,Paid
223,1,3,8/8/2020,Social media marketing,11261.21,Property Guard,Credit Card,Paid
224,1,3,8/20/2020,Social media marketing,4113.49,Restaurant Supply,Check,Paid
225,1,3,8/27/2020,Promotional materials,14642.51,Beverage Suppliers,Cash,Paid
226,1,4,8/9/2020,Building maintenance,6735.95,Maintenance Plus,Bank Transfer,Paid
227,1,4,8/1/2020,Elevator service,7368.37,Maintenance Plus,Check,Paid
228,1,5,8/16/2020,Beverage purchases,9516.44,Office Depot Egypt,Check,Pending
229,1,5,8/2/2020,Beverage purchases,22022.86,Legal Associates,Credit Card,Paid
230,1,5,8/3/2020,Restaurant supplies,24272.54,Print House Co.,Bank Transfer,Pending
231,1,6,8/26/2020,Cleaning chemicals,4496.8,Insurance Group Egypt,Cash,Paid
232,1,6,8/4/2020,Cleaning chemicals,4314.81,Property Guard,Bank Transfer,Paid
233,1,6,8/1/2020,Laundry supplies,3514.02,Office Depot Egypt,Credit Card,Paid
234,1,6,8/15/2020,Cleaning chemicals,4906.99,Property Guard,Bank Transfer,Paid
235,1,7,8/12/2020,Employee insurance,11443.63,Housekeeping Supplies Ltd.,Check,Paid
236,1,7,8/27/2020,Employee insurance,11041.7,Cleaning Solutions,Bank Transfer,Pending
237,1,7,8/21/2020,Property insurance,11422.69,Sanitech Co.,Bank Transfer,Paid
238,1,7,8/5/2020,Liability insurance,6546.51,Elevator Tech,Check,Paid
239,1,8,8/23/2020,System upgrades,2846.91,Kitchen Equipment Co.,Check,Paid
240,1,8,8/2/2020,IT support,2815.05,Office Depot Egypt,Check,Paid
241,1,8,8/4/2020,System upgrades,4589.43,Print House Co.,Cash,Paid
242,1,9,8/14/2020,Training materials,2974.38,Insurance Group Egypt,Bank Transfer,Paid
243,1,9,8/5/2020,Certification courses,1097.26,Bank of Egypt,Bank Transfer,Paid
244,1,9,8/15/2020,Training materials,2631.64,Kitchen Equipment Co.,Cash,Paid
245,1,10,8/16/2020,Legal fees,4805.49,Beverage Suppliers,Check,Paid
246,1,10,8/17/2020,Office supplies,5991.98,System Integrators,Credit Card,Paid
247,1,10,8/14/2020,Bank charges,2992.18,Training Institute,Credit Card,Paid
248,1,1,9/7/2020,Staff salaries,134121.66,Marketing Solutions Ltd.,Cash,Paid
249,1,1,9/26/2020,Staff salaries,105717.62,Professional Development,Check,Paid
250,1,2,9/16/2020,Gas bill,11307.1,Office Depot Egypt,Credit Card,Overdue
251,1,2,9/28/2020,Gas bill,23051.82,Print House Co.,Cash,Pending
252,1,2,9/13/2020,Water bill,6719.99,Telecom Egypt,Bank Transfer,Paid
253,1,3,9/24/2020,Print advertising,5921.1,Tech Solutions,Bank Transfer,Paid
254,1,3,9/27/2020,Social media marketing,5340.52,Delta Gas Company,Credit Card,Paid
255,1,3,9/4/2020,Social media marketing,7977.97,Print House Co.,Cash,Paid
256,1,4,9/27/2020,Elevator service,1245.34,HVAC Systems Ltd.,Credit Card,Paid
257,1,4,9/27/2020,Equipment repair,9896.67,Elevator Tech,Cash,Paid
258,1,5,9/6/2020,Beverage purchases,28686.34,Bank of Egypt,Credit Card,Paid
259,1,5,9/25/2020,Food supplies,15123.77,Building Services Co.,Cash,Paid
260,1,5,9/4/2020,Restaurant supplies,22462.41,Maintenance Plus,Credit Card,Paid
261,1,6,9/23/2020,Cleaning chemicals,1832.16,Employee Benefits Co.,Cash,Paid
262,1,6,9/2/2020,Laundry supplies,1806.1,IT Support Services,Cash,Pending
263,1,7,9/3/2020,Equipment insurance,9366.01,Accounting Firm,Check,Paid
264,1,7,9/26/2020,Property insurance,6970.05,Accounting Firm,Check,Paid
265,1,8,9/16/2020,System upgrades,5425.58,Software Corp.,Check,Paid
266,1,8,9/21/2020,Hardware purchases,3714.81,Certification Center,Check,Paid
267,1,9,9/1/2020,Certification courses,512.03,Cleaning Solutions,Credit Card,Paid
268,1,9,9/10/2020,Staff training programs,2039.41,Print House Co.,Bank Transfer,Paid
269,1,10,9/6/2020,Legal fees,4178,Professional Development,Cash,Paid
270,1,10,9/22/2020,Office supplies,5493.73,Bank of Egypt,Bank Transfer,Pending
271,1,1,10/10/2020,Overtime payments,114226.84,Property Guard,Check,Paid
272,1,1,10/17/2020,Bonus payments,78399,Delta Gas Company,Cash,Paid
273,1,1,10/5/2020,Management salaries,109216.52,Food Distributors Egypt,Bank Transfer,Paid
274,1,2,10/7/2020,Telecommunications,16804.37,Food Distributors Egypt,Credit Card,Paid
275,1,2,10/28/2020,Telecommunications,22015.74,Maintenance Plus,Credit Card,Paid
276,1,2,10/26/2020,Gas bill,16190.17,Delta Gas Company,Credit Card,Paid
277,1,3,10/1/2020,Print advertising,11530.47,Print House Co.,Credit Card,Pending
278,1,3,10/5/2020,Print advertising,4520.54,Marketing Solutions Ltd.,Credit Card,Paid
279,1,3,10/7/2020,Print advertising,11905.8,Beverage Suppliers,Bank Transfer,Paid
280,1,4,10/15/2020,HVAC maintenance,2842.91,Marketing Solutions Ltd.,Cash,Paid
281,1,4,10/26/2020,Elevator service,3734.55,Legal Associates,Check,Paid
282,1,4,10/21/2020,Equipment repair,1046.34,Employee Benefits Co.,Bank Transfer,Paid
283,1,4,10/12/2020,Elevator service,4843.07,Elevator Tech,Check,Paid
284,1,5,10/20/2020,Food supplies,26357.5,Telecom Egypt,Check,Paid
285,1,5,10/7/2020,Food supplies,22318.48,System Integrators,Credit Card,Paid
286,1,5,10/3/2020,Kitchen equipment,19096.75,Municipal Water Authority,Bank Transfer,Paid
287,1,5,10/26/2020,Beverage purchases,28461.22,Liability Solutions,Bank Transfer,Paid
288,1,6,10/3/2020,Laundry supplies,4878.9,Bank of Egypt,Credit Card,Paid
289,1,6,10/2/2020,Sanitization products,4845.31,Kitchen Equipment Co.,Credit Card,Paid
290,1,7,10/8/2020,Liability insurance,6629.35,Property Guard,Credit Card,Paid
291,1,7,10/23/2020,Equipment insurance,10590.99,Tech Solutions,Credit Card,Paid
292,1,8,10/21/2020,System upgrades,4033.62,IT Support Services,Check,Pending
293,1,8,10/15/2020,Hardware purchases,2557.41,Food Distributors Egypt,Credit Card,Paid
294,1,9,10/15/2020,Training materials,1251.48,Laundry Services,Cash,Overdue
295,1,9,10/23/2020,Certification courses,2090.82,Property Guard,Check,Paid
296,1,9,10/10/2020,External trainers,2110.56,Training Institute,Cash,Paid
297,1,10,10/12/2020,Office supplies,3818.37,Liability Solutions,Cash,Pending
298,1,10,10/27/2020,Legal fees,4735.73,Liability Solutions,Credit Card,Pending
299,1,1,11/20/2020,Staff salaries,143346.44,Restaurant Supply,Check,Paid
300,1,1,11/9/2020,Staff salaries,82883.86,Maintenance Plus,Cash,Paid
301,1,1,11/5/2020,Overtime payments,72625.32,Marketing Solutions Ltd.,Bank Transfer,Paid
302,1,1,11/19/2020,Management salaries,92611.05,Training Institute,Cash,Paid
303,1,2,11/4/2020,Telecommunications,24554.1,Sanitech Co.,Check,Paid
304,1,2,11/25/2020,Telecommunications,5433.08,System Integrators,Check,Paid
305,1,2,11/28/2020,Telecommunications,24760.19,Elevator Tech,Check,Pending
306,1,2,11/11/2020,Water bill,19933.35,Maintenance Plus,Bank Transfer,Paid
307,1,3,11/3/2020,Social media marketing,9791.43,IT Support Services,Cash,Paid
308,1,3,11/17/2020,Social media marketing,12054.46,Municipal Water Authority,Credit Card,Paid
309,1,3,11/13/2020,Print advertising,9440.47,System Integrators,Bank Transfer,Paid
310,1,4,11/27/2020,Building maintenance,2382.55,Software Corp.,Bank Transfer,Paid
311,1,4,11/9/2020,Building maintenance,3201.22,Sanitech Co.,Bank Transfer,Paid
312,1,4,11/28/2020,Elevator service,2249.78,Office Depot Egypt,Cash,Paid
313,1,5,11/27/2020,Kitchen equipment,22735.29,Bank of Egypt,Cash,Paid
314,1,5,11/11/2020,Restaurant supplies,18742.7,System Integrators,Check,Paid
315,1,6,11/15/2020,Cleaning chemicals,4029.92,Restaurant Supply,Bank Transfer,Paid
316,1,6,11/15/2020,Cleaning chemicals,2916.95,Building Services Co.,Check,Paid
317,1,6,11/9/2020,Housekeeping supplies,4152.5,Print House Co.,Cash,Pending
318,1,7,11/23/2020,Liability insurance,8764.37,Creative Agency,Credit Card,Paid
319,1,7,11/18/2020,Property insurance,5136.28,Cleaning Solutions,Cash,Pending
320,1,8,11/16/2020,IT support,3267.29,Insurance Group Egypt,Cash,Paid
321,1,8,11/6/2020,IT support,4317.86,IT Support Services,Check,Overdue
322,1,8,11/25/2020,Software licenses,5212.21,Housekeeping Supplies Ltd.,Credit Card,Paid
323,1,8,11/24/2020,Hardware purchases,4404.87,System Integrators,Check,Paid
324,1,9,11/24/2020,External trainers,939.83,System Integrators,Bank Transfer,Paid
